variable,state,n,reliability,all100_enrich_+5,all100_z_+5,all100_enrich_+4,all100_z_+4,all100_enrich_+3,all100_z_+3,all100_enrich_+2,all100_z_+2,all100_enrich_+1,all100_z_+1,all100_enrich_-1,all100_z_-1,all100_enrich_-2,all100_z_-2,all100_orient_agree,best_enrich_+5,best_z_+5,best_enrich_+4,best_z_+4,best_enrich_+3,best_z_+3,best_enrich_+2,best_z_+2,best_enrich_+1,best_z_+1,best_enrich_-1,best_z_-1,best_enrich_-2,best_z_-2,best_orient_agree,flag_+5,flag_+4,flag_+3,flag_+1,flag_-1,flag_-2
cts_mmse30_lv,18-24,75,p>n (overfit),2.122682067008684,8.225340660667781,1.2382893614281345,1.7410197745705718,1.0160436075767885,0.28329498912485385,1.0280922938379258,0.31524981341417246,1.2472709701861517,2.706281716930517,0.8024356646799923,-3.4657427800305634,0.9505572456261743,-0.6510077216006611,0.4917541229385307,1.9569359756097562,2.5349351085179395,1.5218321917808217,1.2725105270872676,1.063098086124402,0.33597125854538096,1.6150700934579438,1.87201558745999,1.0792349726775956,0.2799030784132611,0.8884961439588689,-0.9032088825057928,0.7741724738675958,-1.379458457054613,0.5454545454545454,False,True,False,False,False,False
cts_mmse30_lv,24-30,367,comfortable,2.217975717202106,8.401017727452995,1.177539074286404,1.2151858691375588,1.1509558839027887,1.6251550980850809,1.3276709621639429,2.597736385578685,1.0664933439252788,0.7121334851561593,0.874964610488885,-2.0526576661515854,0.8868992616924283,-1.6288903663050316,0.5773755656108597,1.835075493612079,2.995866552513303,0.9815798465504924,-0.10544059808090178,1.1656847747073311,1.0499230944613973,1.4063195371606587,1.6849363860769273,1.3704571081620263,2.0384388105444993,0.9762808293840244,-0.18896436628008417,0.7490104055559507,-2.0684066690425884,0.5384615384615384,True,False,False,False,False,True
cts_mmse30_lv,6-12,30,p>n (overfit),1.2867482453783898,2.2426130403967783,1.0549280557448748,0.3058424752089713,0.8828868774498135,-1.2594681464573092,1.0730330232266476,0.7445289605684776,1.1897680898944807,1.9638906047377362,1.0420342166900824,0.6593033949191249,0.9799149806375171,-0.34251601382312097,0.5941255006675568,1.768892443022791,2.3600176194715567,0.8515607455647878,-0.3392341144748631,0.8923052788453997,-0.4889939354714729,1.065114141259384,0.17716810178228973,0.9624652871092001,-0.22027395740497477,1.1985334400943992,1.5041866258354124,1.1551950648312104,0.8883404674621719,0.45454545454545453,True,False,False,False,False,False
cts_mmse30_first_ad_dx,0-6,6,p>n (overfit),1.3135500832145113,2.115551978658293,1.5339576081622655,3.269680818233417,1.0297559097786562,0.3378183289429978,1.1661897300244086,1.4002923172100261,1.3093246205280187,3.0384550202279414,1.174441325796334,2.869392814526465,1.139354223122452,1.8690489838182143,0.5154929577464789,1.0557968593384564,0.19018211168144294,1.4824544942765996,0.8924056470249617,1.4498263092351051,1.5207233312838364,1.6182307002944563,1.7420698781283586,1.300995583501759,0.9049920698174998,0.8902348839666161,-0.4876938305371284,1.0557968593384564,0.2071025003666224,0.3333333333333333,False,False,False,False,False,False
cts_mmse30_first_ad_dx,12-18,20,p>n (overfit),1.2213750075367413,1.727178699058855,1.1611311288898414,1.0787139158010797,0.9226966346881215,-0.8061281623688914,1.0351649177712852,0.33499910671194094,1.1812133796815185,1.8041072369079576,0.9060627234940271,-1.4725454666270048,1.0777674688158903,1.166898111648612,0.5825932504440497,1.517188400230459,1.4298978406912393,1.3633912199331248,0.8391813582966892,0.8333647289304148,-0.8230253374264246,1.0464346162337184,0.19007148031742582,0.8837829697517319,-0.5163041317677174,0.9594559034876424,-0.263977951192494,0.9970095201514444,-0.06216002615080542,0.8333333333333334,True,False,False,False,False,False
cts_mmse30_first_ad_dx,18-24,48,p>n (overfit),1.604921152300776,4.721317861068319,0.9804637272647373,-0.16134238173781204,0.9728310464121497,-0.330796591657346,1.048550459757091,0.4830083395278616,1.127606739039815,1.3131839281755495,0.8530147238665324,-2.675651241420157,0.8384104077260475,-2.1487056493111694,0.5610902255639098,1.4754998901340364,1.7956209199311368,0.8774527952610144,-0.3901669076527865,0.9875425664899349,-0.17844812060138157,0.997726698661278,0.013680671441942516,0.8945010584354847,-0.5210598485243355,0.8599087519396003,-1.1193147639365655,0.9175377468060395,-0.5212477147154945,0.375,False,False,False,False,False,False
cts_mmse30_first_ad_dx,24-30,39,p>n (overfit),1.2921222082998487,2.1029048377001986,1.1352729778063775,1.0810180436247407,0.9574460903463966,-0.5082965025922734,1.0760112717307757,0.7324106408986583,1.079861966188156,0.9507615477509481,0.9502799302163979,-0.9266785509855802,0.9636088180001348,-0.5734931872934933,0.49885057471264366,1.1239837398373984,0.24804718499048287,2.1643835616438354,2.7213721519097023,1.0709728867623602,0.31777628479942527,1.2305295950155763,0.8273678685218039,1.0072859744990892,0.028961825790873256,0.9815766923736076,-0.11148394054551468,1.1469221835075494,0.6882002640826416,0.8333333333333334,False,False,False,False,False,False
cts_mmse30_first_ad_dx,6-12,13,p>n (overfit),1.1756553970416368,1.085593885035235,0.9254013073316993,-0.4964305800708164,1.1308633467319096,1.432140746866364,1.0349427248806933,0.2862023247868331,1.1720730477301564,2.0220929859015797,1.1820032463485868,2.7626903421810565,1.0214403768242792,0.2679141617793881,0.6779661016949152,1.7292057535959977,1.7195985304637993,0.8324552160168598,-0.3669731986789833,0.9692062323641271,-0.09854706390119179,2.4610591900311527,3.7275842404293527,0.7748353649992995,-0.6992156096372865,1.0414606815635095,0.08264988086131117,1.3410167068703653,1.3685971946972602,1.0,False,False,False,False,False,False
braaksc,0,6,p>n (overfit),1.0882216181131164,0.5060939575172292,1.2364687143752273,1.4917040971130318,1.07723214660967,0.8594834747306699,1.0453376532320489,0.3103137952163121,1.0696146205885309,0.9062892614725881,1.1612398409578524,2.6299514560833943,0.9026723099555805,-1.40561797572918,0.5009708737864078,0.4699583581201666,-1.0767209938505653,0.5278984296692282,-1.0219138722379832,1.4750846073054031,1.74641580762948,1.0804650102575792,0.2542562049755019,1.1582033853125415,0.48705678739484914,0.9906577214872406,-0.03703505261593152,0.6042321747259284,-1.5617875706735453,0.6666666666666666,False,False,False,False,False,False
braaksc,1,106,exploratory,1.7919213873026398,6.0561223302493,0.9956238850568755,-0.06687649266665444,1.0484633929725242,0.7496558487625586,1.1436114027373385,1.3432672595174444,1.132073485188183,1.4810394052964073,0.8352575580750001,-2.7783828588543593,0.9601236205525165,-0.5051195603811947,0.5016700066800267,1.825047758674308,3.5800234702215685,1.103875040546947,0.35910246796675593,1.1016114553646907,0.6574938500907948,1.2910474439507684,1.511929093505247,1.3524839001861308,2.458106329555257,0.7842255842592981,-2.320296561497111,0.9827180239015505,-0.09843063555625071,0.7333333333333333,False,False,False,True,False,False
