region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third),1,321,0.6464,0.63701,0.00723,1.29855,0.08458,0.23314,False
PMI <= 5.17 (low third)  AND  celltype_microglia > -0.0479 (upper half),2,132,0.63911,0.62339,0.01211,1.29774,0.08458,0.23314,False
race = White  AND  PMI 5.17-10 (middle third),2,155,0.6408,0.62746,0.0103,1.29555,0.10945,0.25198,False
race = White  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,243,0.64353,0.6335,0.00778,1.28893,0.09453,0.23576,False
race = White  AND  celltype_microglia <= -0.0479 (lower half),2,229,0.64469,0.63332,0.00882,1.28881,0.08955,0.23576,False
race = White  AND  celltype_endothelial > -0.0425 (upper half),2,236,0.64334,0.6335,0.00778,1.26477,0.0995,0.24381,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial <= -0.298 (low third),2,128,0.63866,0.62339,0.01211,1.26117,0.09453,0.23576,False
PMI <= 6.83 (lower half)  AND  amyAny = 1,2,277,0.64454,0.63475,0.0078,1.25534,0.09453,0.23576,False
celltype_neuron <= 0.103 (lower half)  AND  reag = Intermediate Likelihood,2,116,0.63687,0.6223,0.01165,1.2509,0.09453,0.23576,False
PMI <= 5.17 (low third)  AND  reag = Low Likelihood,2,57,0.63051,0.60994,0.01645,1.25064,0.1194,0.26898,False
celltype_neuron <= 0.103 (lower half)  AND  bScore = Braak Stage I-II,2,56,0.63044,0.60994,0.01645,1.24664,0.1194,0.26898,False
PMI <= 6.83 (lower half)  AND  reag = Intermediate Likelihood,2,117,0.63681,0.6223,0.01165,1.24556,0.09453,0.23576,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,141,0.63984,0.62586,0.01125,1.24367,0.10448,0.24873,False
PMI <= 5.17 (low third)  AND  Braak = Stage IV,2,49,0.62607,0.60492,0.01704,1.24083,0.09453,0.23576,False
PMI <= 6.83 (lower half)  AND  ageDeath > 83.6 (upper half),2,249,0.64387,0.63428,0.00773,1.23966,0.12935,0.27938,False
celltype_neuron <= -0.0632 (low third)  AND  ageDeath > 87.7 (high third),2,97,0.63709,0.62031,0.01354,1.23856,0.10945,0.25198,False
celltype_neuron <= -0.0632 (low third)  AND  reag = Intermediate Likelihood,2,63,0.63012,0.60994,0.01645,1.22725,0.1194,0.26898,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte <= -0.213 (low third),2,112,0.63615,0.62088,0.01248,1.22328,0.10945,0.25198,False
race = White  AND  ADoutcome = AD,2,278,0.64429,0.63475,0.0078,1.22269,0.09453,0.23576,False
amyCerad = Moderate/Probable/C2,1,138,0.63958,0.62586,0.01125,1.22045,0.10945,0.25198,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte > -0.11 (upper half),2,134,0.63797,0.62339,0.01211,1.2044,0.0995,0.24381,False
PMI <= 5.17 (low third)  AND  sex = male,2,114,0.63584,0.62088,0.01248,1.19891,0.10945,0.25198,False
PMI <= 5.17 (low third)  AND  celltype_neuron > 0.103 (upper half),2,131,0.63788,0.62339,0.01211,1.19697,0.10448,0.24873,False
PMI <= 5.17 (low third)  AND  celltype_endothelial > -0.0425 (upper half),2,126,0.63781,0.62339,0.01211,1.19115,0.10448,0.24873,False
celltype_neuron <= -0.0632 (low third)  AND  PMI > 6.83 (upper half),2,133,0.63773,0.62339,0.01211,1.18437,0.10448,0.24873,False
celltype_neuron <= 0.103 (lower half)  AND  amyAny = 1,2,281,0.64395,0.63475,0.0078,1.17886,0.0995,0.24381,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia > -0.0479 (upper half),2,317,0.64544,0.63701,0.00723,1.16513,0.10945,0.25198,False
PMI <= 6.83 (lower half)  AND  apoeGenotype = 33,2,188,0.64232,0.63188,0.00905,1.15386,0.12935,0.27938,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte > 0.0206 (upper half),2,270,0.64442,0.6353,0.0079,1.15312,0.13433,0.2857,False
PMI <= 6.83 (lower half)  AND  bScore = Braak Stage III-IV,2,150,0.64152,0.62824,0.01157,1.14774,0.12935,0.27938,False
PMI <= 6.83 (lower half)  AND  amyThal = Phase 5,2,73,0.62722,0.61159,0.01371,1.14009,0.12438,0.27574,False
PMI <= 5.17 (low third)  AND  ageDeath <= 79 (low third),2,72,0.62716,0.61159,0.01371,1.13606,0.12438,0.27574,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath <= 83.6 (lower half),2,236,0.64231,0.6335,0.00778,1.13214,0.12438,0.27574,False
PMI <= 6.83 (lower half)  AND  sex = male,2,165,0.63901,0.62746,0.0103,1.12123,0.13433,0.2857,False
celltype_neuron <= 0.103 (lower half)  AND  dataContributionGroup = Emory,2,59,0.62809,0.60994,0.01645,1.10343,0.1393,0.29479,False
ageDeath > 83.6 (upper half),1,481,0.64629,0.641,0.0048,1.10136,0.1592,0.32699,False
race = White  AND  celltype_oligodendrocyte > -0.11 (upper half),2,222,0.64278,0.63266,0.00924,1.09562,0.12935,0.27938,False
celltype_astrocyte <= -0.213 (low third),1,322,0.64486,0.63701,0.00723,1.08585,0.13433,0.2857,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial -0.298-0.239 (middle third),2,150,0.64075,0.62824,0.01157,1.08142,0.15423,0.31833,False
cohort = MAP,1,69,0.62622,0.61159,0.01371,1.0668,0.14428,0.30378,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte > 0.236 (high third),2,140,0.63773,0.62586,0.01125,1.05607,0.12935,0.27938,False
PMI <= 6.83 (lower half)  AND  ageDeath 79-87.7 (middle third),2,130,0.63604,0.62339,0.01211,1.04504,0.14925,0.31113,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,126,0.63594,0.62339,0.01211,1.0362,0.15423,0.31833,False
PMI <= 5.17 (low third)  AND  ADoutcome = AD,2,166,0.63848,0.62836,0.00978,1.03444,0.18408,0.35219,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia <= -0.289 (low third),2,92,0.63263,0.61751,0.01471,1.02787,0.1791,0.35219,False
race = White  AND  amyAny = 0,2,89,0.632,0.61751,0.01471,0.98513,0.18408,0.35219,False
race = White  AND  amyCerad = None/No AD/C0,2,89,0.632,0.61751,0.01471,0.98513,0.18408,0.35219,False
PMI <= 5.17 (low third)  AND  celltype_microglia > 0.179 (high third),2,88,0.63198,0.61751,0.01471,0.98403,0.18408,0.35219,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,146,0.63958,0.62824,0.01157,0.98,0.17413,0.34909,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,50,0.62151,0.60492,0.01704,0.97333,0.14925,0.31113,False
PMI <= 5.17 (low third)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,99,0.63332,0.62031,0.01354,0.9608,0.18408,0.35219,False
