protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
AP2A1,AP3B2,2,0.6,0.6,,0.0,0.0,AP2A1->AP3B2,0.4611,0.8404,AP3B2->AP2A1,0.3818,0.1173,0,0.28096666666666664
VPS26A,VPS35,2,1.0,1.0,,0.0,0.0,VPS26A->VPS35,0.4711,0.5634,VPS26A->VPS35,0.3317,0.3999,1,0.2676
AP2B1,AP3B2,2,0.6,0.6,,0.0,0.0,AP2B1->AP3B2,0.3736,-0.009,AP3B2->AP2B1,0.3775,0.8163,0,0.2503666666666667
COPZ1,TMED10,2,1.0,1.0,COPZ1->TMED10,0.3565,0.0699,COPZ1->TMED10,0.3601,0.1097,,0.0,0.0,1,0.23886666666666664
SEC23A,SEC31A,2,0.8,0.8,SEC31A->SEC23A,0.2822,0.0759,SEC31A->SEC23A,0.4001,0.2482,,0.0,0.0,1,0.22743333333333335
COPA,TMED9,2,1.0,1.0,,0.0,0.0,COPA->TMED9,0.3531,0.2964,COPA->TMED9,0.2997,0.1347,1,0.21760000000000002
COPE,TMED9,2,1.0,1.0,,0.0,0.0,COPE->TMED9,0.3705,0.2015,COPE->TMED9,0.2724,0.1679,1,0.21430000000000002
COPB1,TMED9,2,1.0,1.0,,0.0,0.0,COPB1->TMED9,0.3161,-0.0812,COPB1->TMED9,0.3211,0.2392,1,0.2124
COPA,COPE,2,1.0,1.0,COPA->COPE,0.1191,-0.1919,COPE->COPA,0.518,0.1526,,0.0,0.0,0,0.21236666666666668
PLCG2,SYK,2,0.6,1.0,PLCG2->SYK,0.2461,0.3042,SYK->PLCG2,0.3795,0.4479,,0.0,0.0,0,0.20853333333333335
COPB2,TMED2,2,1.0,1.0,COPB2->TMED2,0.3098,0.4738,COPB2->TMED2,0.3051,-0.2287,,0.0,0.0,1,0.20496666666666666
COPG1,COPZ1,2,1.0,1.0,COPZ1->COPG1,0.3192,0.0112,COPG1->COPZ1,0.2662,-0.1127,,0.0,0.0,0,0.1951333333333333
COPA,COPZ1,2,1.0,1.0,COPA->COPZ1,0.1784,0.236,COPA->COPZ1,0.3999,0.1166,,0.0,0.0,1,0.19276666666666667
AP1G1,AP3B2,2,0.6,0.6,,0.0,0.0,AP3B2->AP1G1,0.355,0.1455,AP3B2->AP1G1,0.2012,-0.0242,1,0.1854
COPB2,COPG2,2,1.0,1.0,COPB2->COPG2,0.2636,0.1295,COPB2->COPG2,0.2878,0.1433,,0.0,0.0,1,0.1838
APOE,APP,2,0.6,0.2,,0.0,0.0,APOE->APP,0.2498,0.4941,APOE->APP,0.2857,0.0213,1,0.1785
APP,LRP1,2,0.8,0.8,,0.0,0.0,LRP1->APP,0.1548,2.1548,LRP1->APP,0.3737,1.5741,1,0.17616666666666667
COPB1,TMED2,2,1.0,1.0,COPB1->TMED2,0.2087,-0.0427,COPB1->TMED2,0.2776,0.3248,,0.0,0.0,1,0.1621
AP4B1,AP4E1,2,1.0,1.0,,0.0,0.0,AP4B1->AP4E1,0.176,0.1459,AP4E1->AP4B1,0.3023,0.6918,0,0.15943333333333334
COPE,TMED2,2,1.0,1.0,TMED2->COPE,0.1851,-0.0013,COPE->TMED2,0.2795,0.0432,,0.0,0.0,0,0.15486666666666668
NCSTN,PSEN1,2,1.0,1.0,NCSTN->PSEN1,0.1352,0.0457,PSEN1->NCSTN,0.3282,0.3095,,0.0,0.0,0,0.15446666666666667
AP2B1,AP4M1,2,0.8,0.8,AP2B1->AP4M1,0.17,-0.1949,,0.0,0.0,AP2B1->AP4M1,0.2888,-1.683,1,0.15293333333333334
COPZ1,TMED9,2,1.0,1.0,COPZ1->TMED9,0.1199,-0.0035,COPZ1->TMED9,0.3085,0.0486,,0.0,0.0,1,0.1428
COPE,COPG2,2,1.0,1.0,COPE->COPG2,0.251,0.2421,COPE->COPG2,0.1672,-0.1684,,0.0,0.0,1,0.1394
SEC24B,SEC31A,2,0.6,0.6,SEC24B->SEC31A,0.1095,0.0795,SEC31A->SEC24B,0.2843,0.1675,,0.0,0.0,0,0.13126666666666667
AP4E1,AP4M1,2,1.0,1.0,AP4E1->AP4M1,0.2091,0.1467,AP4E1->AP4M1,0.1781,0.1454,,0.0,0.0,1,0.12906666666666666
COPG1,TMED10,2,1.0,1.0,COPG1->TMED10,0.2055,-0.4913,COPG1->TMED10,0.1647,0.0051,,0.0,0.0,1,0.1234
GGA1,GGA3,2,0.6,0.6,GGA1->GGA3,0.1161,0.1452,GGA3->GGA1,0.2369,0.1982,,0.0,0.0,0,0.11766666666666666
ADAM10,APP,2,1.0,0.6,,0.0,0.0,ADAM10->APP,0.1001,0.2474,ADAM10->APP,0.2515,0.909,1,0.11720000000000001
SAR1A,SEC24C,2,0.6,0.6,SEC24C->SAR1A,0.1178,0.1303,SAR1A->SEC24C,0.2284,0.1186,,0.0,0.0,0,0.1154
MAPK14,MAPKAPK2,2,1.0,1.0,MAPK14->MAPKAPK2,0.1337,0.1587,MAPKAPK2->MAPK14,0.2075,0.2334,,0.0,0.0,0,0.11373333333333334
MIA3,SEC24C,2,0.6,0.6,,0.0,0.0,SEC24C->MIA3,0.2074,0.0914,SEC24C->MIA3,0.133,0.3106,1,0.11346666666666667
SAR1A,SEC31A,2,0.6,0.6,SAR1A->SEC31A,0.1697,0.1303,SEC31A->SAR1A,0.1669,0.088,,0.0,0.0,0,0.11220000000000001
APP,VPS35,2,0.4,0.8,,0.0,0.0,VPS35->APP,0.1166,0.6002,VPS35->APP,0.2186,1.946,1,0.11173333333333334
APBA1,APBA2,2,0.8,0.8,,0.0,0.0,APBA1->APBA2,0.1525,0.1357,APBA1->APBA2,0.1671,0.1619,1,0.10653333333333333
SEC13,TMED10,2,0.6,0.6,SEC13->TMED10,0.1709,0.1688,SEC13->TMED10,0.1479,0.0914,,0.0,0.0,1,0.10626666666666666
SEC23B,SEC24A,2,1.0,1.0,SEC24A->SEC23B,0.1488,0.2264,SEC23B->SEC24A,0.163,0.0757,,0.0,0.0,0,0.10393333333333332
SEC24C,TMED2,2,0.6,0.6,,0.0,0.0,TMED2->SEC24C,0.1848,0.1134,SEC24C->TMED2,0.1254,0.2212,0,0.1034
AP4E1,AP4S1,2,1.0,1.0,AP4S1->AP4E1,0.1618,0.1046,AP4S1->AP4E1,0.1481,0.0923,,0.0,0.0,1,0.1033
COPG1,RAB1A,2,0.6,0.6,COPG1->RAB1A,0.0903,-0.2528,,0.0,0.0,COPG1->RAB1A,0.2193,-0.308,1,0.1032
SEC23A,TMED2,2,0.6,0.6,SEC23A->TMED2,0.1314,0.2791,SEC23A->TMED2,0.1778,0.1872,,0.0,0.0,1,0.10306666666666668
ITPR1,MFN2,2,0.6,0.6,,0.0,0.0,MFN2->ITPR1,0.1636,0.1947,MFN2->ITPR1,0.1451,0.3909,1,0.10289999999999999
AP1G1,AP4M1,2,0.6,0.6,,0.0,0.0,AP4M1->AP1G1,0.0793,0.0134,AP1G1->AP4M1,0.2286,-0.8113,0,0.10263333333333334
MAP2K3,MAPKAPK2,2,1.0,1.0,MAPKAPK2->MAP2K3,0.1836,0.1907,MAP2K3->MAPKAPK2,0.122,-0.085,,0.0,0.0,0,0.10186666666666666
AP2B1,BACE1,2,0.6,0.6,,0.0,0.0,BACE1->AP2B1,0.1782,0.2331,BACE1->AP2B1,0.1176,-0.1277,1,0.09860000000000001
RAB1A,SEC23A,2,0.6,0.6,,0.0,0.0,RAB1A->SEC23A,0.144,0.0414,SEC23A->RAB1A,0.1481,-0.1245,0,0.09736666666666667
SAR1A,SEC13,2,0.6,0.6,SEC13->SAR1A,0.1216,0.2362,SAR1A->SEC13,0.1703,0.0957,,0.0,0.0,0,0.0973
AP1G1,GGA1,2,0.6,0.6,AP1G1->GGA1,0.1033,0.1482,AP1G1->GGA1,0.1859,0.2502,,0.0,0.0,1,0.0964
SEC31A,TMED10,2,0.6,0.6,SEC31A->TMED10,0.1637,0.0015,SEC31A->TMED10,0.1224,-0.1016,,0.0,0.0,1,0.09536666666666667
PICALM,SEC24C,2,0.4,0.4,SEC24C->PICALM,0.1304,0.0895,SEC24C->PICALM,0.1513,0.1905,,0.0,0.0,1,0.09389999999999998
SEC24A,TMED10,2,0.6,0.6,SEC24A->TMED10,0.0999,0.0837,SEC24A->TMED10,0.1768,0.0664,,0.0,0.0,1,0.09223333333333333
AP2B1,ARF6,2,0.6,0.6,,0.0,0.0,AP2B1->ARF6,0.1252,0.1411,AP2B1->ARF6,0.1512,0.3057,1,0.09213333333333333
SEC23A,TMED10,2,0.6,0.6,SEC23A->TMED10,0.1232,-0.0604,SEC23A->TMED10,0.1447,-0.0488,,0.0,0.0,1,0.0893
RAB1A,SEC24C,2,0.6,0.6,,0.0,0.0,SEC24C->RAB1A,0.1283,0.2119,SEC24C->RAB1A,0.1379,0.1624,1,0.08873333333333333
SAR1B,SEC23B,2,1.0,1.0,SEC23B->SAR1B,0.1199,0.13,SAR1B->SEC23B,0.146,0.087,,0.0,0.0,0,0.08863333333333334
PREB,TMED10,2,0.6,0.6,PREB->TMED10,0.1403,0.0465,PREB->TMED10,0.1206,-0.0854,,0.0,0.0,1,0.08696666666666668
MFN2,TMED10,2,0.4,0.4,MFN2->TMED10,0.1245,-0.0143,MFN2->TMED10,0.134,0.0789,,0.0,0.0,1,0.08616666666666667
SEC24A,SEC31A,2,0.6,0.6,SEC31A->SEC24A,0.0815,0.4272,SEC31A->SEC24A,0.175,-0.0691,,0.0,0.0,1,0.0855
BACE1,BIN1,2,0.4,0.8,,0.0,0.0,BIN1->BACE1,0.0777,0.0185,BIN1->BACE1,0.1777,0.2948,1,0.08513333333333334
EIF2S1,TMED9,2,0.4,0.4,EIF2S1->TMED9,0.0969,-0.0545,EIF2S1->TMED9,0.1539,0.2493,,0.0,0.0,1,0.08360000000000001
COPA,SEC23A,2,0.4,0.4,,0.0,0.0,SEC23A->COPA,0.1563,0.0883,COPA->SEC23A,0.0911,0.1184,0,0.08246666666666667
PREB,SEC31A,2,0.4,0.4,PREB->SEC31A,0.0471,-0.0097,PREB->SEC31A,0.1979,0.2792,,0.0,0.0,1,0.08166666666666667
COPZ1,RAB1B,2,0.6,0.6,,0.0,0.0,COPZ1->RAB1B,0.0713,0.1221,RAB1B->COPZ1,0.1686,0.2465,0,0.07996666666666667
RAB1A,TMED9,2,0.6,0.6,,0.0,0.0,TMED9->RAB1A,0.1047,0.2313,RAB1A->TMED9,0.1333,-0.113,0,0.07933333333333333
COPA,SEC24C,2,0.4,0.4,COPA->SEC24C,0.0828,0.1015,SEC24C->COPA,0.1516,-0.0158,,0.0,0.0,0,0.07813333333333333
SNX6,VPS29,2,0.8,0.8,,0.0,0.0,VPS29->SNX6,0.0833,0.0289,SNX6->VPS29,0.1504,0.074,0,0.07790000000000001
SEC23A,TMED9,2,0.4,0.4,,0.0,0.0,TMED9->SEC23A,0.122,0.0575,SEC23A->TMED9,0.107,0.1653,0,0.07633333333333332
