source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
BIN1,VPS26A,0.2,0.0,0.0,400,6.4230185382003515e-06,4.2863817591663574e-05,0
BIN1,VPS29,0.2,0.0,0.0,400,0.3321371830734825,0.4881297027641743,0
CLU,ABCA7,0.4,0.0,0.0,280,0.24854424151744964,0.39357853257242625,0
CLU,APP,0.6,0.0,0.0,312,0.005501817409269601,0.017552139442255216,0
SEC24A,COPZ1,0.2,0.0,0.0,400,0.09665085946248597,0.1864591802019641,0
CLU,HSPA5,0.6,0.0,0.0,400,0.07413810345483594,0.1496491347514281,0
SEC23B,COPA,0.2,0.0,0.0,400,0.4966574293276688,0.6483312550504898,0
SEC23B,COPB1,0.2,0.0,0.0,400,0.666628683191217,0.7888196764157235,0
SEC23B,COPB2,0.2,0.0,0.0,400,0.009841727570097018,0.028606621470415334,0
CLU,PLG,0.2,0.0,0.0,400,0.014464710640499763,0.04025498195270998,0
CLU,PSEN1,0.2,0.0,0.0,400,0.09904496913511328,0.1893908458603457,0
CLU,VDAC1,0.2,0.0,0.0,400,0.00962117918750677,0.028216373043181288,0
CLU,VLDLR,0.4,0.0,0.0,368,0.10077678036605552,0.1893908458603457,0
COPA,COPB1,1.0,0.0,0.0,400,2.744628421590363e-12,4.85131618302729e-11,0
CLU,BACE1,0.2,0.0,0.0,400,0.0004987466198364492,0.002218913533149917,0
SEC16A,SEC31A,0.8,0.0,0.0,400,0.5301085447777613,0.6824625753634959,0
SEC16A,TMED10,0.6,0.0,0.0,400,0.9336273623387377,0.9621259780848811,0
SEC23A,COPG1,0.2,0.0,0.0,400,0.016740628170883523,0.045055023966081575,0
SEC23A,GORASP1,0.6,0.0,0.0,264,0.24796073683359252,0.39357853257242625,0
SEC23A,MIA3,0.8,0.0,0.0,400,0.056831203530075716,0.12226186548904448,0
SEC23A,OSBP,0.4,0.0,0.0,400,0.42710283749514905,0.5868177641214863,0
SEC16A,PREB,0.6,0.0,0.0,400,0.7848896095691807,0.861271484325913,0
BIN1,SNX6,0.2,0.0,0.0,400,1.7362265659107191e-07,1.57707246403557e-06,0
BACE1,SNX4,0.2,0.0,0.0,400,0.41258324571674665,0.5692604276344986,0
SEC23A,SEC13,0.8,0.0,0.0,400,2.3586402886072314e-07,2.113083217464561e-06,0
BACE1,VPS35,0.4,0.0,0.0,400,0.32313231889383376,0.4781188609877088,0
BIN1,ABCA7,0.4,0.0,0.0,280,0.56888334139548,0.7141069199091055,0
BIN1,AP2A1,0.4,0.0,0.0,400,0.006243072973169204,0.019535740308385927,0
BIN1,APP,0.4,0.0,0.0,312,0.06141856715138084,0.12833144701917912,0
BACE1,GGA1,0.4,0.0,0.0,400,4.2791384833572355e-05,0.00024125487656169242,0
CLU,PICALM,0.4,0.0,0.0,400,0.028457459782069927,0.06870839212133753,0
SEC23A,PREB,0.6,0.0,0.0,400,0.06711417943496066,0.13802727468699455,0
SEC23A,SAR1A,1.0,0.0,0.0,400,0.14651888243628847,0.26109904390553856,0
SEC23A,SAR1B,1.0,0.0,0.0,400,0.12150109743837834,0.22320707226039166,0
BACE1,SORL1,0.4,0.0,0.0,400,2.6060072147825296e-05,0.00015928305780072655,0
SEC23B,GORASP1,0.4,0.0,0.0,264,0.014952319262030394,0.041337329104766424,0
SEC23B,HSPA5,0.2,0.0,0.0,400,2.6986896491767094e-06,1.9184163375669216e-05,0
BACE1,HSPA5,0.4,0.0,0.0,400,4.411672833178494e-07,3.5620173245663395e-06,0
BACE1,IDE,0.2,0.0,0.0,400,0.001727599451596773,0.0065688955892109855,0
