source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
COPA,SAR1A,0.2,0.0,0.0,676,1.1654117108748223e-05,2.6012943990175214e-05,0
COPA,SEC23A,0.4,0.0,0.0,676,4.2802760492086614e-26,4.24136444876131e-25,0
COPA,SEC23B,0.2,0.0,0.0,676,0.0001208119192309449,0.00023870391292156486,0
COPA,SEC24C,0.4,0.0,0.0,676,1.6616332312817675e-24,1.375579915516805e-23,0
COPA,SEC31A,0.2,0.0,0.0,676,8.915364515924252e-55,2.776499234959267e-53,0
COPG1,COPA,1.0,0.0,0.0,676,2.874431431286122e-87,2.3498476950764047e-85,0
GGA2,SORL1,0.8,0.0,0.0,676,3.461413028441408e-07,9.059039311875391e-07,0
GGA2,VLDLR,0.4,0.0,0.0,676,0.011935987571661255,0.018069758962653844,0
RAB1A,SEC23B,0.4,0.0,0.0,676,0.010171131331405707,0.015614835424270734,0
RAB1A,SEC24A,0.6,0.0,0.0,676,0.0003247098539266932,0.0006015870948103607,0
RAB1A,COPG1,0.6,0.0,0.0,676,0.7154871712079632,0.7535082286151498,0
RAB1A,COPZ1,0.6,0.0,0.0,676,0.2981383640220805,0.34880588563585085,0
RAB1A,PREB,0.2,0.0,0.0,676,0.00013742257560061435,0.00026908492348144247,0
RTN3,COPE,0.4,0.0,0.0,676,0.02477227704213714,0.035677027874573795,0
RTN3,COPG2,0.4,0.0,0.0,676,0.005747429265874972,0.009145544379275504,0
SAR1B,SEC24A,0.6,0.0,0.0,676,0.9390284351195204,0.9448070716433328,0
RTN3,SIGMAR1,0.4,0.0,0.0,656,0.27338424074646606,0.32390089392787824,0
RTN4,APP,0.2,0.0,0.0,676,0.0008695882483458986,0.0015370559849141017,0
RAB1B,TMED10,0.6,0.0,0.0,676,0.00026818442295676914,0.000504001760384273,0
RAB1B,TMED9,0.6,0.0,0.0,676,1.6610090602925677e-05,3.645301763192414e-05,0
RTN3,APP,0.2,0.0,0.0,676,0.31991049814814937,0.3683476510367776,0
