source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
TMED2,SEC31A,0.6,0.0,0.0,676,9.165556084639494e-05,0.0001827522463217753,0
TMED2,TMED10,1.0,0.0,0.0,676,6.036728294876229e-83,3.9480203048490537e-81,0
AP1G1,AP3B2,0.6,0.0,0.0,676,4.616322627027258e-65,1.7759264694563688e-63,0
ADAM17,APP,0.8,0.0,0.0,676,0.08333749432118241,0.10835531070785943,0
ADAM17,BACE1,0.4,0.0,0.0,676,0.969076828592923,0.9705608666152705,0
ADAM10,SORT1,0.6,0.0,0.0,676,1.4694830547427486e-05,3.246763235816749e-05,0
AP2B1,COPG2,0.2,0.0,0.0,676,0.002523546219200921,0.004264597486711634,0
AP2B1,COPZ1,0.2,0.0,0.0,676,0.20567825394002734,0.25172223575679137,0
MFN2,PSEN1,0.4,0.0,0.0,676,3.78547613992697e-07,9.86335217335553e-07,0
AP2B1,AP4S1,0.8,0.0,0.0,676,0.003979317247897219,0.006457750571029233,0
AP2B1,APP,0.8,0.0,0.0,676,0.18579852789287157,0.23189358252278247,0
AP2B1,BACE1,0.6,0.0,0.0,676,3.152285901364706e-15,1.3743966529950118e-14,0
TMED2,TMED9,0.8,0.0,0.0,676,5.3552998844096915e-59,1.751183062201969e-57,0
TMED9,COPA,1.0,0.0,0.0,676,2.7905581567941225e-21,1.8250250345433563e-20,0
TMED2,RAB1B,0.6,0.0,0.0,676,9.539905382278476e-13,3.5249141920961145e-12,0
AP1G1,AP2B1,0.4,0.0,0.0,676,1.522860784676574e-106,3.319836510594931e-104,0
MIA3,SEC16A,0.8,0.0,0.0,676,3.1444268719565174e-19,1.852662319152759e-18,0
MIA3,SEC23A,0.8,0.0,0.0,676,1.9287611461445107e-19,1.1679720273875093e-18,0
MIA3,SEC23B,0.8,0.0,0.0,676,0.0827130000385537,0.10797265873296231,0
AP2B1,AP4M1,0.8,0.0,0.0,609,0.04987787290922724,0.0682429474532105,0
SAR1B,SEC24D,0.6,0.0,0.0,676,0.00012858391959002664,0.0002532948295538477,0
SAR1B,SEC31A,0.6,0.0,0.0,676,0.039460700137564045,0.05514379891018566,0
SAR1B,SREBF2,0.6,0.0,0.0,484,0.5775899279262403,0.6264408173528377,0
SAR1B,HSPA5,0.2,0.0,0.0,676,2.776983816506382e-17,1.3655243729287022e-16,0
SAR1B,MIA3,0.2,0.0,0.0,676,0.014967640887153234,0.02229803448792304,0
SAR1B,PREB,0.6,0.0,0.0,676,0.024620625916651276,0.035623649003296315,0
SAR1B,SAR1A,0.4,0.0,0.0,676,2.0986523977816706e-11,7.148534729943815e-11,0
SAR1B,SEC13,0.6,0.0,0.0,676,0.15454145868802557,0.19474010401150044,0
SAR1B,SEC16A,0.6,0.0,0.0,676,0.6306097757072502,0.6749898417553872,0
HSPA5,COPG1,0.2,0.0,0.0,676,7.79704127899197e-06,1.7829597889722898e-05,0
SEC16A,RAB1A,0.6,0.0,0.0,676,0.5180242095756675,0.5684359615142393,0
SEC16A,RAB1B,0.6,0.0,0.0,676,0.5764169324000514,0.6262070993183283,0
SEC16A,SAR1A,0.6,0.0,0.0,676,1.92257916551286e-05,4.1090417459000346e-05,0
SEC16A,SEC13,0.8,0.0,0.0,676,5.729015283949337e-29,7.069388671137484e-28,0
SEC16A,SEC23A,0.8,0.0,0.0,676,4.6003453673750235e-29,5.78581898127551e-28,0
SEC16A,SEC23B,0.8,0.0,0.0,676,5.2119477566492516e-05,0.00010585757244871462,0
SEC16A,AP2A1,0.4,0.0,0.0,676,7.262494400064657e-09,2.0923662280362493e-08,0
