region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
apoeGenotype = e3-3  AND  diagnosis = control,2,63,63,0.57288,0.56789,0.41983,0.33831,0.39549,0.65821,0.6387,False
apoeGenotype = e3-3  AND  TangleTotal <= 6 (low third),2,40,40,0.57004,0.56628,0.27317,0.41294,0.36901,0.65821,0.65338,False
celltype_neuron > -1.75e-05 (upper half),1,95,94,0.57774,0.57456,0.34483,0.37313,0.33178,0.65821,0.6387,False
celltype_microglia > 0.252 (high third),1,63,63,0.57211,0.56789,0.35546,0.36816,0.32218,0.65821,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  CERAD = 3,2,60,60,0.57203,0.56789,0.34846,0.36816,0.31421,0.65821,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal > 8 (upper half),2,55,55,0.57203,0.56789,0.34834,0.36816,0.31407,0.65821,0.6387,False
sex = female  AND  PlaqueTotal <= 12.1 (lower half),2,47,47,0.57157,0.56943,0.17913,0.40796,0.30966,0.65821,0.65338,False
PlaqueTotal 8-13.5 (middle third),1,69,68,0.57368,0.57023,0.33103,0.36318,0.27438,0.65821,0.6387,False
ageDeath > 88 (high third),1,63,62,0.57147,0.56789,0.30157,0.37811,0.2608,0.65821,0.6387,False
pmi 2.5-3.25 (middle third),1,66,66,0.5733,0.57023,0.29494,0.37811,0.23651,0.65821,0.6387,False
celltype_oligodendrocyte <= -0.129 (lower half),1,95,95,0.57687,0.57602,0.09202,0.49751,0.22768,0.65821,0.73895,False
celltype_astrocyte > 0.213 (high third),1,63,62,0.57108,0.56789,0.26863,0.39801,0.22328,0.65821,0.65338,False
ageDeath > 86 (upper half),1,86,85,0.57671,0.57179,0.49985,0.32338,0.21396,0.65821,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  sex = male,2,57,57,0.57074,0.56789,0.23995,0.41294,0.19062,0.65821,0.65338,False
lastMMSE <= 18 (low third),1,67,67,0.57255,0.57023,0.22238,0.39303,0.16037,0.67112,0.65338,False
apoeGenotype = e3-3  AND  TangleTotal <= 8 (lower half),2,62,62,0.57035,0.56789,0.20714,0.42289,0.15324,0.65821,0.66076,False
