region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,90,90,0.61417,0.59797,1.4764,0.09453,1.51858,0.29415,0.33474,False
celltype_neuron > 0.0321 (upper half)  AND  ceradsc = 4,2,57,57,0.61077,0.58775,1.64024,0.04478,1.51356,0.29528,0.23645,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia <= -0.284 (low third),2,65,65,0.61072,0.58775,1.63678,0.04478,1.51016,0.29528,0.23645,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi 5.67-7.61 (middle third),2,70,70,0.61049,0.59122,1.50498,0.05473,1.50636,0.29528,0.24959,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte > 0.235 (high third),2,69,69,0.61003,0.59122,1.46906,0.0597,1.47108,0.29528,0.25672,False
celltype_neuron > 0.194 (high third)  AND  cts_mmse30_lv 23-28 (middle third),2,61,61,0.60993,0.58775,1.58021,0.04975,1.45477,0.29528,0.24153,False
celltype_astrocyte > 0.235 (high third),1,133,133,0.62122,0.60576,1.43834,0.08458,1.4423,0.29528,0.31822,False
celltype_astrocyte > 0.235 (high third)  AND  braaksc <= 4 (lower half),2,101,101,0.61474,0.60014,1.26552,0.09453,1.44086,0.29528,0.33474,False
msex = 0,1,281,281,0.62657,0.61822,1.49095,0.04478,1.42825,0.33872,0.23645,False
celltype_neuron > 0.0321 (upper half)  AND  age_death <= 89.4 (lower half),2,106,106,0.61814,0.60192,1.4706,0.0796,1.42578,0.33872,0.31117,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte <= 0.0643 (lower half),2,72,72,0.60936,0.59122,1.41669,0.06965,1.41962,0.31527,0.28719,False
cogdx = 2,1,97,97,0.61447,0.60014,1.24201,0.10945,1.41603,0.29528,0.35425,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max <= 88.9 (lower half),2,107,107,0.61789,0.60192,1.4478,0.0796,1.40319,0.33872,0.31117,False
cts_mmse30_lv <= 26 (lower half)  AND  dcfdx_lv = 2,2,55,55,0.60915,0.58775,1.52455,0.05473,1.40027,0.31527,0.24959,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte > 0.164 (high third),2,58,58,0.60906,0.58775,1.51843,0.05473,1.39428,0.31527,0.24959,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte <= 0.0643 (lower half),2,106,106,0.61763,0.60192,1.42481,0.08458,1.38042,0.34826,0.31822,False
ceradsc = 2,1,138,138,0.62098,0.60661,1.44806,0.0597,1.34941,0.31198,0.25672,False
educ <= 16 (lower half),1,247,247,0.62498,0.6168,1.36384,0.08458,1.34756,0.31527,0.31822,False
celltype_astrocyte > 0.235 (high third)  AND  Study = MAP,2,87,87,0.6121,0.59797,1.28727,0.11443,1.34576,0.33872,0.35878,False
age_at_visit_max > 88.9 (upper half),1,200,200,0.62323,0.61347,1.32484,0.06965,1.33753,0.39066,0.28719,False
celltype_neuron > 0.194 (high third)  AND  educ <= 16 (lower half),2,80,80,0.61366,0.59397,1.5766,0.04975,1.31905,0.33872,0.24153,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial -0.263-0.217 (middle third),2,62,62,0.60789,0.58775,1.43461,0.07463,1.31219,0.35736,0.2995,False
celltype_neuron > 0.0321 (upper half)  AND  Study = MAP,2,126,126,0.61971,0.60576,1.29783,0.10945,1.29368,0.35736,0.35425,False
celltype_astrocyte > 0.235 (high third)  AND  age_death > 89.4 (upper half),2,70,70,0.60752,0.59122,1.27339,0.09453,1.27886,0.33872,0.33474,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max > 88.9 (upper half),2,69,69,0.60742,0.59122,1.26498,0.0995,1.27059,0.34826,0.34034,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte > 0.0643 (upper half),2,94,94,0.61078,0.59797,1.16671,0.13433,1.23561,0.33872,0.37094,False
celltype_neuron > 0.194 (high third)  AND  dcfdx_lv = 1,2,63,63,0.60678,0.58775,1.35583,0.09453,1.23505,0.37849,0.33474,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte > 0.0643 (upper half),2,61,61,0.6067,0.58775,1.35015,0.09453,1.22948,0.37849,0.33474,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 2,2,46,46,0.60333,0.58189,1.42726,0.0995,1.21482,0.3964,0.34034,False
celltype_neuron > 0.0321 (upper half)  AND  educ 14-18 (middle third),2,90,90,0.61043,0.59797,1.1353,0.13433,1.2069,0.33872,0.37094,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia > 0.197 (high third),2,50,50,0.60309,0.58189,1.41152,0.10448,1.19968,0.3964,0.34558,False
educ <= 14 (low third),1,158,158,0.62117,0.60963,1.19327,0.12438,1.19851,0.37017,0.36704,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,63,63,0.60584,0.58775,1.28882,0.0995,1.16943,0.3964,0.34034,False
celltype_astrocyte > 0.235 (high third)  AND  pmi 5.67-7.61 (middle third),2,43,43,0.59711,0.57807,1.24849,0.12438,1.14306,0.3964,0.36704,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,45,45,0.59703,0.57807,1.24345,0.12438,1.13812,0.3964,0.36704,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,110,110,0.6149,0.60192,1.17727,0.11443,1.13522,0.3964,0.35878,False
dcfdx_lv = 2,1,100,100,0.61137,0.60014,0.97395,0.15423,1.13285,0.3964,0.39341,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia > -0.077 (upper half),2,106,106,0.61477,0.60192,1.16534,0.12438,1.12341,0.3964,0.36704,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia <= -0.077 (lower half),2,104,104,0.61107,0.60014,0.94801,0.16418,1.10544,0.3964,0.40841,False
celltype_neuron > 0.194 (high third)  AND  pmi 5.67-7.61 (middle third),2,46,46,0.60152,0.58189,1.30717,0.10448,1.09934,0.40587,0.34558,False
celltype_astrocyte > 0.235 (high third)  AND  pmi > 6.5 (upper half),2,48,48,0.60122,0.58189,1.28715,0.10448,1.08009,0.40587,0.34558,False
