region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron <= 0.0182 (lower half)  AND  ageDeath > 86 (upper half),2,40,40,0.53663,0.53528,0.12501,0.43284,0.07909,0.73432,0.69958,False
celltype_endothelial <= -0.0629 (lower half),1,51,51,0.53686,0.53544,0.15144,0.45771,0.05774,0.73271,0.73129,False
lastMMSE <= 25 (lower half)  AND  TangleTotal > 11.8 (high third),2,61,61,0.53812,0.53774,0.04771,0.50249,0.02642,0.73432,0.75103,False
PlaqueTotal > 13.5 (high third),1,55,55,0.53812,0.53774,0.04755,0.50249,0.02628,0.73432,0.75103,False
lastMMSE <= 18 (low third),1,67,67,0.5379,0.53966,-0.25059,0.57711,0.02167,0.73432,0.77635,False
sex = male,1,109,109,0.54097,0.54082,0.02902,0.51244,0.01037,0.73432,0.75775,False
ageDeath <= 86 (lower half)  AND  TangleTotal <= 8 (lower half),2,42,42,0.53573,0.53528,0.04165,0.46766,-0.0022,0.73432,0.73869,False
ageDeath <= 86 (lower half)  AND  celltype_neuron > 0.0182 (upper half),2,49,49,0.53562,0.53544,0.01927,0.49751,-0.06849,0.73432,0.75103,False
apoeGenotype = e3-4,1,62,62,0.53729,0.53774,-0.05503,0.54726,-0.0688,0.73432,0.76001,False
CERAD = 3  AND  PlaqueTotal > 13.5 (high third),2,50,50,0.53548,0.53544,0.00407,0.50249,-0.08301,0.73432,0.75103,False
Braak = 4,1,57,57,0.53713,0.53774,-0.07453,0.55224,-0.08686,0.73432,0.76001,False
celltype_neuron <= 0.0182 (lower half)  AND  lastMMSE <= 18 (low third),2,44,44,0.53477,0.53528,-0.04768,0.47761,-0.08932,0.75678,0.74593,False
pmi > 3 (upper half),1,73,73,0.53675,0.53966,-0.41463,0.64179,-0.12983,0.73432,0.81843,False
lastMMSE <= 25 (lower half)  AND  celltype_astrocyte > 0.251 (high third),2,42,42,0.53395,0.53528,-0.12291,0.52736,-0.16269,0.75678,0.76001,False
ageDeath <= 86 (lower half)  AND  lastMMSE > 25 (upper half),2,43,43,0.53384,0.53528,-0.13299,0.52736,-0.17252,0.75678,0.76001,False
celltype_astrocyte > -0.0155 (upper half),1,95,95,0.53941,0.54006,-0.11162,0.54726,-0.17362,0.75678,0.76001,False
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal > 11.8 (high third),2,41,41,0.53376,0.53528,-0.14094,0.53234,-0.18028,0.75678,0.76001,False
ageDeath <= 86 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,47,47,0.53445,0.53544,-0.10489,0.54229,-0.18706,0.75678,0.76001,False
pmi <= 3 (lower half),1,117,117,0.53956,0.54118,-0.38544,0.66667,-0.18968,0.75678,0.825,False
CERAD = 3  AND  TangleTotal > 11.8 (high third),2,60,60,0.53617,0.53774,-0.19349,0.59204,-0.19711,0.75678,0.77635,False
CERAD = 3  AND  celltype_astrocyte > 0.251 (high third),2,45,45,0.53335,0.53528,-0.17911,0.57711,-0.2175,0.75678,0.77635,False
CERAD = 3  AND  apoeGenotype = e3-4,2,44,44,0.53312,0.53528,-0.19982,0.58706,-0.2377,0.76198,0.77635,False
CERAD = 3  AND  celltype_neuron > 0.0182 (upper half),2,46,46,0.53359,0.53544,-0.19619,0.58209,-0.27425,0.76198,0.77635,False
pmi 2.5-3.25 (middle third),1,66,66,0.53536,0.53966,-0.61287,0.71642,-0.31292,0.77402,0.85847,False
sex = female,1,81,81,0.53775,0.53959,-0.2908,0.61194,-0.36592,0.81394,0.79495,False
ageDeath 82-88 (middle third),1,54,54,0.53263,0.53544,-0.29821,0.62189,-0.37168,0.81394,0.8004,False
pmi > 3.25 (high third),1,59,59,0.53451,0.53774,-0.39864,0.67662,-0.38724,0.81394,0.825,False
CERAD = 3  AND  lastMMSE <= 18 (low third),2,61,61,0.53448,0.53774,-0.40278,0.67662,-0.39108,0.81394,0.825,False
celltype_astrocyte <= -0.0155 (lower half),1,95,95,0.5379,0.54006,-0.37146,0.65672,-0.43301,0.825,0.825,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal > 13.5 (high third),2,47,47,0.5315,0.53544,-0.41854,0.67662,-0.4866,0.84058,0.825,False
celltype_neuron -0.182-0.263 (middle third),1,63,63,0.53364,0.53774,-0.50677,0.69154,-0.48745,0.84058,0.83586,False
celltype_oligodendrocyte -0.464-0.391 (middle third),1,63,63,0.53263,0.53774,-0.63131,0.75124,-0.60287,0.86736,0.8775,False
lastMMSE <= 25 (lower half)  AND  apoeGenotype = e3-4,2,46,46,0.53025,0.53544,-0.55187,0.73632,-0.61393,0.86736,0.86736,False
lastMMSE <= 25 (lower half)  AND  celltype_neuron > 0.0182 (upper half),2,42,42,0.52835,0.53528,-0.64143,0.73134,-0.66837,0.87169,0.86736,False
celltype_astrocyte <= -0.237 (low third),1,64,64,0.53182,0.53774,-0.73217,0.78109,-0.69635,0.87595,0.89729,False
CERAD = 3  AND  Braak = 5,2,45,45,0.5278,0.53528,-0.69191,0.76119,-0.71761,0.89158,0.88172,False
celltype_oligodendrocyte <= -0.464 (low third),1,64,64,0.52879,0.53774,-1.10694,0.8806,-1.04367,0.97597,0.99515,False
Braak = 5,1,48,48,0.52478,0.53544,-1.13343,0.87562,-1.16934,0.97597,0.99515,False
lastMMSE <= 25 (lower half)  AND  Braak = 5,2,45,45,0.52243,0.53528,-1.18914,0.9005,-1.20253,0.97597,1.0,False
apoeGenotype = e3-3,1,92,92,0.53203,0.54056,-1.45232,0.93532,-1.36366,1.0,1.0,False
celltype_astrocyte > 0.251 (high third),1,63,63,0.52587,0.53774,-1.46785,0.91045,-1.37815,1.0,1.0,False
celltype_oligodendrocyte <= -0.073 (lower half),1,95,95,0.53184,0.54006,-1.4169,0.9204,-1.47665,1.0,1.0,False
celltype_neuron > 0.263 (high third),1,63,63,0.52501,0.53774,-1.5746,0.91542,-1.47708,1.0,1.0,False
diagnosis = control,1,100,100,0.53155,0.54006,-1.46757,0.93035,-1.52724,1.0,1.0,False
ageDeath > 88 (high third),1,63,63,0.52333,0.53774,-1.78326,0.95025,-1.67047,1.0,1.0,False
TangleTotal <= 6 (low third),1,64,64,0.52171,0.53774,-1.98341,0.96517,-1.85595,1.0,1.0,False
celltype_endothelial > -0.0629 (upper half),1,50,50,0.51621,0.53544,-2.04444,0.96517,-2.03937,1.0,1.0,False
TangleTotal <= 8 (lower half),1,98,98,0.52823,0.54006,-2.03987,0.98507,-2.09855,1.0,1.0,False
PlaqueTotal <= 8 (low third),1,66,66,0.52057,0.53966,-2.71744,1.0,-2.25661,1.0,1.0,False
PlaqueTotal <= 12.1 (lower half),1,95,95,0.52553,0.54006,-2.50515,0.99502,-2.56303,1.0,1.0,False
ageDeath > 86 (upper half),1,86,86,0.52329,0.54056,-2.94115,1.0,-2.69787,1.0,1.0,False
lastMMSE > 28 (high third),1,48,48,0.50937,0.53544,-2.77261,1.0,-2.73478,1.0,1.0,False
celltype_neuron > 0.0182 (upper half),1,95,95,0.5235,0.54006,-2.85507,1.0,-2.91235,1.0,1.0,False
lastMMSE > 25 (upper half),1,91,91,0.5209,0.54056,-3.34827,1.0,-3.06271,1.0,1.0,False
