source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
HSPA5,SAR1A,0.2,0.0,0.0,189,0.21594818878521563,0.4305796203217409,0
HSPA5,SAR1B,0.2,0.0,0.0,189,0.0005321079496063557,0.004405045557500716,0
HSPA5,SEC23A,0.2,0.0,0.0,189,0.01991571937159019,0.07661694393541167,0
HSPA5,SIGMAR1,0.8,0.0,0.0,154,0.21887774498214882,0.4311627868021847,0
PSEN1,APOE,0.6,0.0,0.0,189,0.8315570320677506,0.9186457752910623,0
PSEN1,MFN2,0.4,0.0,0.0,189,0.8890099619809497,0.9469259204161906,0
PSEN1,NCSTN,1.0,0.0,0.0,189,0.058611089819842734,0.17828675694035884,0
HSPA5,APP,0.6,0.0,0.0,189,0.18195689813197205,0.39801018885665657,0
HSPA5,BACE1,0.4,0.0,0.0,181,0.3582629528736544,0.5813994322068734,0
HSPA5,CLU,0.6,0.0,0.0,189,0.8143645997671078,0.9073159254645461,0
HSPA5,EIF2S1,0.6,0.0,0.0,189,2.5815552359821303e-05,0.00032468021621775257,0
HSPA5,LRP1,0.6,0.0,0.0,189,0.002604165891271243,0.015624995347627457,0
HSPA5,MAP2K3,0.2,0.0,0.0,171,0.6082534394510488,0.7681245409628464,0
HSPA5,MAPK14,0.2,0.0,0.0,180,0.8106771335678715,0.9047488828556108,0
HSPA5,MFN2,0.2,0.0,0.0,189,0.5091177916185786,0.7015808249783607,0
PSEN1,LRP1,0.6,0.0,0.0,189,0.07472198506279404,0.20619484485682407,0
ADAM10,BACE1,0.2,0.0,0.0,181,0.012815169620149969,0.05513895349722421,0
ADAM10,SORL1,0.6,0.0,0.0,189,0.4009993338432188,0.6214539439181637,0
ADAM10,SORT1,0.6,0.0,0.0,189,0.2271333747890826,0.44021045720015256,0
ADAM17,APP,0.8,0.0,0.0,189,0.040110795435084064,0.13050975231116904,0
ADAM17,BACE1,0.4,0.0,0.0,181,0.31664469863214983,0.5406935584998068,0
ADAM17,IDE,0.2,0.0,0.0,189,0.22657956964889675,0.44021045720015256,0
AP2A1,VLDLR,0.6,0.0,0.0,189,0.9407874634988223,0.9689370096507555,0
