step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
3,derivedOutcomeBasedOnMayoDx,celltype_oligodendrocyte + reag + derivedOutcomeBasedOnMayoDx,0.61924,0.61923,0.0,0.06,676,clinical/pathology
3,celltype_neuron,celltype_oligodendrocyte + reag + celltype_neuron,0.62327,0.61928,0.00403,16.37,676,proteome-derived
3,celltype_astrocyte,celltype_oligodendrocyte + reag + celltype_astrocyte,0.62193,0.61915,0.00269,7.66,676,proteome-derived
3,celltype_microglia,celltype_oligodendrocyte + reag + celltype_microglia,0.62202,0.6194,0.00278,13.65,676,proteome-derived
3,celltype_endothelial,celltype_oligodendrocyte + reag + celltype_endothelial,0.62282,0.61952,0.00358,20.08,676,proteome-derived
3,proteomePC1,celltype_oligodendrocyte + reag + proteomePC1,0.61727,0.61939,-0.00198,-10.09,676,proteome-derived
3,proteomePC2,celltype_oligodendrocyte + reag + proteomePC2,0.63456,0.61927,0.01531,58.94,676,proteome-derived
3,proteomePC3,celltype_oligodendrocyte + reag + proteomePC3,0.6086,0.61927,-0.01064,-66.41,676,proteome-derived
3,proteomePC4,celltype_oligodendrocyte + reag + proteomePC4,0.6145,0.61926,-0.00475,-25.56,676,proteome-derived
3,proteomePC5,celltype_oligodendrocyte + reag + proteomePC5,0.61574,0.61931,-0.0035,-21.16,676,proteome-derived
3,proteomePC6,celltype_oligodendrocyte + reag + proteomePC6,0.6239,0.6194,0.00465,25.77,676,proteome-derived
3,proteomePC7,celltype_oligodendrocyte + reag + proteomePC7,0.6172,0.61923,-0.00204,-8.83,676,proteome-derived
3,proteomePC8,celltype_oligodendrocyte + reag + proteomePC8,0.62258,0.61937,0.00334,11.77,676,proteome-derived
3,proteomePC9,celltype_oligodendrocyte + reag + proteomePC9,0.62069,0.61935,0.00145,4.66,676,proteome-derived
3,proteomePC10,celltype_oligodendrocyte + reag + proteomePC10,0.62347,0.61927,0.00423,17.4,676,proteome-derived
4,dataContributionGroup,celltype_oligodendrocyte + reag + proteomePC2 + dataContributionGroup,0.63645,0.6346,0.00189,4.22,676,technical
4,cohort,celltype_oligodendrocyte + reag + proteomePC2 + cohort,0.63754,0.63497,0.00298,3.93,676,technical
4,sex,celltype_oligodendrocyte + reag + proteomePC2 + sex,0.63464,0.63455,8e-05,0.36,676,clinical/pathology
