region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
CERAD = 3  AND  celltype_oligodendrocyte > -0.073 (upper half),2,62,0.54468,0.53789,0.00872,0.77858,0.22388,0.49396,False
celltype_oligodendrocyte > -0.073 (upper half),1,95,0.54473,0.54042,0.00581,0.74286,0.23383,0.50004,False
ageDeath <= 86 (lower half)  AND  diagnosis = control,2,47,0.54322,0.53629,0.00985,0.70344,0.24378,0.50575,False
diagnosis = Alzheimer Disease,1,90,0.54548,0.54096,0.00655,0.68903,0.27363,0.52333,False
CERAD = 3  AND  ageDeath <= 82 (low third),2,49,0.54299,0.53629,0.00985,0.68049,0.24378,0.50575,False
CERAD = 3  AND  ageDeath > 86 (upper half),2,43,0.54328,0.53576,0.01108,0.67916,0.22886,0.49705,False
celltype_oligodendrocyte > 0.391 (high third),1,63,0.54344,0.53789,0.00872,0.63612,0.26866,0.52333,False
lastMMSE <= 25 (lower half)  AND  diagnosis = Alzheimer Disease,2,86,0.54505,0.54096,0.00655,0.62285,0.27861,0.52333,False
ageDeath <= 86 (lower half)  AND  TangleTotal > 11.8 (high third),2,47,0.54239,0.53629,0.00985,0.61947,0.24876,0.50849,False
lastMMSE <= 25 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,65,0.54309,0.53789,0.00872,0.59586,0.27861,0.52333,False
TangleTotal 6-11.8 (middle third),1,63,0.54291,0.53789,0.00872,0.57543,0.29353,0.53686,False
pmi <= 2.5 (low third),1,65,0.54276,0.53789,0.00872,0.55853,0.29851,0.53886,False
CERAD = 3  AND  sex = female,2,41,0.54171,0.53576,0.01108,0.53752,0.27363,0.52333,False
lastMMSE <= 25 (lower half)  AND  sex = female,2,40,0.54138,0.53576,0.01108,0.50757,0.27861,0.52333,False
CERAD = 3  AND  pmi > 3 (upper half),2,44,0.5412,0.53576,0.01108,0.49134,0.28358,0.52557,False
ageDeath <= 86 (lower half)  AND  celltype_oligodendrocyte <= -0.073 (lower half),2,47,0.54,0.53629,0.00985,0.37638,0.34826,0.62061,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,50,0.53974,0.53629,0.00985,0.34981,0.35323,0.62151,False
celltype_neuron <= 0.0182 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,46,0.53952,0.53629,0.00985,0.32765,0.36816,0.63968,False
