region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_astrocyte > 0.235 (high third)  AND  braaksc <= 4 (lower half),2,101,0.61474,0.599,0.01092,1.44086,0.06965,0.29528,False
msex = 0,1,281,0.62657,0.61838,0.00574,1.42825,0.08955,0.33872,False
celltype_neuron > 0.0321 (upper half)  AND  age_death <= 89.4 (lower half),2,106,0.61814,0.60227,0.01113,1.42578,0.09453,0.33872,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte <= 0.0643 (lower half),2,72,0.60936,0.59085,0.01304,1.41962,0.0796,0.31527,False
cogdx = 2,1,97,0.61447,0.599,0.01092,1.41603,0.06965,0.29528,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max <= 88.9 (lower half),2,107,0.61789,0.60227,0.01113,1.40319,0.09453,0.33872,False
cts_mmse30_lv <= 26 (lower half)  AND  dcfdx_lv = 2,2,55,0.60915,0.58907,0.01434,1.40027,0.0796,0.31527,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte > 0.164 (high third),2,58,0.60906,0.58907,0.01434,1.39428,0.0796,0.31527,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte <= 0.0643 (lower half),2,106,0.61763,0.60227,0.01113,1.38042,0.0995,0.34826,False
ceradsc = 2,1,138,0.62098,0.60744,0.01004,1.34941,0.07463,0.31198,False
educ <= 16 (lower half),1,247,0.62498,0.61683,0.00605,1.34756,0.0796,0.31527,False
celltype_astrocyte > 0.235 (high third)  AND  Study = MAP,2,87,0.6121,0.59593,0.01201,1.34576,0.08955,0.33872,False
age_at_visit_max > 88.9 (upper half),1,200,0.62323,0.61266,0.0079,1.33753,0.1194,0.39066,False
celltype_neuron > 0.194 (high third)  AND  educ <= 16 (lower half),2,80,0.61366,0.59548,0.01378,1.31905,0.09453,0.33872,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial -0.263-0.217 (middle third),2,62,0.60789,0.58907,0.01434,1.31219,0.10448,0.35736,False
celltype_neuron > 0.0321 (upper half)  AND  Study = MAP,2,126,0.61971,0.60656,0.01017,1.29368,0.10448,0.35736,False
celltype_astrocyte > 0.235 (high third)  AND  age_death > 89.4 (upper half),2,70,0.60752,0.59085,0.01304,1.27886,0.09453,0.33872,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max > 88.9 (upper half),2,69,0.60742,0.59085,0.01304,1.27059,0.0995,0.34826,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte > 0.0643 (upper half),2,94,0.61078,0.59593,0.01201,1.23561,0.09453,0.33872,False
celltype_neuron > 0.194 (high third)  AND  dcfdx_lv = 1,2,63,0.60678,0.58907,0.01434,1.23505,0.11443,0.37849,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte > 0.0643 (upper half),2,61,0.6067,0.58907,0.01434,1.22948,0.11443,0.37849,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 2,2,46,0.60333,0.58435,0.01562,1.21482,0.12935,0.3964,False
celltype_neuron > 0.0321 (upper half)  AND  educ 14-18 (middle third),2,90,0.61043,0.59593,0.01201,1.2069,0.09453,0.33872,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia > 0.197 (high third),2,50,0.60309,0.58435,0.01562,1.19968,0.12935,0.3964,False
educ <= 14 (low third),1,158,0.62117,0.61023,0.00913,1.19851,0.10945,0.37017,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,63,0.60584,0.58907,0.01434,1.16943,0.12935,0.3964,False
celltype_astrocyte > 0.235 (high third)  AND  pmi 5.67-7.61 (middle third),2,43,0.59711,0.57936,0.01553,1.14306,0.12935,0.3964,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,45,0.59703,0.57936,0.01553,1.13812,0.13433,0.3964,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,110,0.6149,0.60227,0.01113,1.13522,0.13433,0.3964,False
dcfdx_lv = 2,1,100,0.61137,0.599,0.01092,1.13285,0.12935,0.3964,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia > -0.077 (upper half),2,106,0.61477,0.60227,0.01113,1.12341,0.13433,0.3964,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia <= -0.077 (lower half),2,104,0.61107,0.599,0.01092,1.10544,0.13433,0.3964,False
celltype_neuron > 0.194 (high third)  AND  pmi 5.67-7.61 (middle third),2,46,0.60152,0.58435,0.01562,1.09934,0.14428,0.40587,False
celltype_astrocyte > 0.235 (high third)  AND  pmi > 6.5 (upper half),2,48,0.60122,0.58435,0.01562,1.08009,0.14428,0.40587,False
celltype_microglia > -0.077 (upper half),1,200,0.62112,0.61266,0.0079,1.07011,0.16418,0.42602,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia -0.284-0.197 (middle third),2,43,0.59572,0.57936,0.01553,1.05395,0.17413,0.43677,False
celltype_neuron > 0.0321 (upper half)  AND  age_death <= 86.8 (low third),2,80,0.60993,0.59548,0.01378,1.04801,0.12438,0.3964,False
