region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron <= -0.0632 (low third)  AND  bScore = Braak Stage III-IV,2,84,65,0.63946,0.61572,1.57681,0.0597,1.71156,0.14053,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  PMI 5.17-10 (middle third),2,143,126,0.64509,0.63036,1.51244,0.06468,1.7103,0.16751,0.26652,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,95,67,0.64317,0.61761,1.91653,0.02985,1.68757,0.17517,0.22388,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,87,67,0.6422,0.61761,1.84367,0.03483,1.67841,0.16751,0.24641,False
race = White  AND  ageDeath 79-87.7 (middle third),2,152,131,0.64735,0.63036,1.74432,0.02985,1.65192,0.19781,0.22388,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte > -0.11 (upper half),2,204,162,0.64719,0.63437,1.53359,0.0796,1.64761,0.16751,0.28429,False
race = White  AND  amyCerad = Moderate/Probable/C2,2,98,98,0.64255,0.62688,1.29579,0.10945,1.64187,0.18199,0.34204,False
race = White  AND  celltype_astrocyte <= -0.213 (low third),2,145,117,0.6443,0.63033,1.38732,0.0995,1.64035,0.17517,0.33316,False
celltype_neuron <= -0.0632 (low third)  AND  ageDeath > 83.6 (upper half),2,150,113,0.64705,0.6269,1.84935,0.02985,1.6262,0.20698,0.22388,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath > 83.6 (upper half),2,246,201,0.64684,0.63573,1.45239,0.06965,1.62421,0.17517,0.27787,False
PMI <= 5.17 (low third)  AND  dataContributionGroup = Rush,2,113,113,0.64108,0.6269,1.30164,0.1194,1.61875,0.16751,0.34807,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_endothelial -0.298-0.239 (middle third),2,70,47,0.63378,0.61153,1.53195,0.0597,1.61845,0.18951,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_endothelial > -0.0425 (upper half),2,273,206,0.64802,0.63708,1.3839,0.0796,1.60851,0.18199,0.28429,False
celltype_neuron <= -0.0632 (low third)  AND  isHispanic = FALSE,2,208,162,0.64717,0.63437,1.53108,0.0796,1.59989,0.16751,0.28429,False
PMI <= 5.17 (low third)  AND  celltype_neuron <= -0.0632 (low third),2,80,63,0.63758,0.61572,1.45208,0.07463,1.58283,0.1489,0.27985,False
PMI <= 6.83 (lower half)  AND  amyCerad = Moderate/Probable/C2,2,79,79,0.63709,0.62296,1.1643,0.1194,1.54926,0.16751,0.34807,False
celltype_neuron <= -0.0632 (low third)  AND  sex = female,2,199,134,0.64624,0.63036,1.63085,0.0398,1.54382,0.18199,0.25297,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,70,51,0.63273,0.61153,1.45957,0.06468,1.54178,0.20698,0.26652,False
cohort = Emory,1,97,95,0.64114,0.62688,1.17902,0.12438,1.53765,0.19781,0.34807,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,137,109,0.643,0.6269,1.47715,0.07463,1.52411,0.18951,0.27985,False
celltype_neuron <= 0.103 (lower half)  AND  cohort = ROS,2,98,98,0.64064,0.62688,1.13793,0.13433,1.50098,0.19781,0.35726,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte <= 0.0206 (lower half),2,212,138,0.64627,0.63143,1.45372,0.0796,1.49982,0.18199,0.28429,False
