region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_astrocyte -0.218-0.213 (middle third),1,63,0.56114,0.56875,0.01042,-0.73067,0.76617,0.83222,False
sex = male,1,109,0.57131,0.57729,0.00804,-0.7428,0.72139,0.81157,False
pmi > 3 (upper half),1,73,0.56235,0.57096,0.00992,-0.86754,0.78109,0.84118,False
apoeGenotype = e3-3  AND  PlaqueTotal <= 8 (low third),2,40,0.55236,0.56482,0.01414,-0.88094,0.79104,0.84467,False
celltype_astrocyte > 0.00686 (upper half),1,95,0.56768,0.57499,0.00828,-0.88281,0.82587,0.86716,False
lastMMSE 18-28 (middle third),1,75,0.56427,0.57314,0.0095,-0.93425,0.801,0.84811,False
celltype_oligodendrocyte <= -0.462 (low third),1,64,0.55851,0.56875,0.01042,-0.98263,0.8408,0.87554,False
TangleTotal > 11.8 (high third),1,63,0.55782,0.56875,0.01042,-1.04943,0.8607,0.88892,False
lastMMSE > 25 (upper half),1,91,0.56482,0.57496,0.00819,-1.23675,0.88557,0.90717,False
celltype_microglia <= 0.00693 (lower half),1,95,0.56423,0.57499,0.00828,-1.30055,0.90547,0.91272,False
PlaqueTotal <= 8 (low third),1,66,0.55763,0.57096,0.00992,-1.3429,0.90547,0.91272,False
celltype_endothelial -0.261-0.125 (middle third),1,63,0.54695,0.56875,0.01042,-2.09156,0.98507,0.98507,False
