region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
apoeGenotype = e3-3  AND  celltype_microglia <= 0.00693 (lower half),2,48,0.5639,0.56036,0.0117,0.30304,0.39801,0.63113,False
PlaqueTotal <= 8 (low third),1,66,0.56809,0.56541,0.00962,0.27885,0.39303,0.63113,False
celltype_astrocyte <= 0.00686 (lower half),1,95,0.57529,0.57316,0.00809,0.2633,0.42289,0.64198,False
apoeGenotype = e3-3  AND  celltype_astrocyte > 0.00686 (upper half),2,41,0.5605,0.55721,0.01322,0.24868,0.39303,0.63113,False
celltype_endothelial <= -0.0477 (lower half)  AND  lastMMSE <= 25 (lower half),2,44,0.55992,0.55721,0.01322,0.20536,0.40796,0.6378,False
apoeGenotype = e3-3  AND  celltype_endothelial > -0.0477 (upper half),2,45,0.55959,0.55721,0.01322,0.18031,0.41791,0.64198,False
celltype_microglia -0.272-0.252 (middle third),1,63,0.56555,0.56403,0.01127,0.13526,0.43284,0.64198,False
Braak = 5,1,48,0.56187,0.56036,0.0117,0.12941,0.45771,0.64198,False
apoeGenotype = e3-3  AND  PlaqueTotal <= 8 (low third),2,40,0.55888,0.55721,0.01322,0.12675,0.46269,0.64198,False
apoeGenotype = e3-3  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,47,0.56157,0.56036,0.0117,0.10347,0.46269,0.64198,False
pmi 2.5-3.25 (middle third),1,66,0.56625,0.56541,0.00962,0.08778,0.44776,0.64198,False
lastMMSE 18-28 (middle third),1,75,0.56886,0.56805,0.00944,0.08514,0.45771,0.64198,False
PlaqueTotal > 13.5 (high third),1,55,0.56484,0.56403,0.01127,0.07152,0.45274,0.64198,False
Braak = 4,1,57,0.56422,0.56403,0.01127,0.01715,0.48756,0.66814,False
celltype_endothelial <= -0.0477 (lower half)  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,41,0.55624,0.55721,0.01322,-0.07333,0.52736,0.70345,False
pmi <= 2.5 (low third),1,65,0.563,0.56403,0.01127,-0.09128,0.52239,0.70345,False
TangleTotal 6-11.8 (middle third),1,63,0.56213,0.56403,0.01127,-0.16875,0.53234,0.70345,False
celltype_microglia <= -0.272 (low third),1,64,0.56193,0.56403,0.01127,-0.18649,0.54229,0.70817,False
ageDeath 82-88 (middle third),1,54,0.55661,0.56036,0.0117,-0.32018,0.63682,0.81249,False
celltype_astrocyte <= -0.218 (low third),1,64,0.5594,0.56403,0.01127,-0.41086,0.63184,0.81249,False
celltype_microglia <= 0.00693 (lower half),1,95,0.56914,0.57316,0.00809,-0.49777,0.70647,0.87131,False
CERAD = 3,1,106,0.56985,0.57392,0.00739,-0.54995,0.70647,0.87131,False
ageDeath > 88 (high third),1,63,0.55706,0.56403,0.01127,-0.61896,0.70647,0.87131,False
celltype_neuron <= -1.75e-05 (lower half),1,95,0.56777,0.57316,0.00809,-0.66645,0.75622,0.89298,False
pmi > 3.25 (high third),1,59,0.55622,0.56403,0.01127,-0.69329,0.72637,0.88601,False
ageDeath > 86 (upper half),1,86,0.56444,0.57095,0.00878,-0.74152,0.75124,0.89298,False
celltype_neuron <= -0.147 (low third),1,64,0.55561,0.56403,0.01127,-0.7475,0.75124,0.89298,False
sex = female,1,81,0.56056,0.56805,0.00944,-0.79355,0.78109,0.90889,False
celltype_astrocyte > 0.00686 (upper half),1,95,0.56669,0.57316,0.00809,-0.8004,0.78607,0.90889,False
PlaqueTotal 8-13.5 (middle third),1,69,0.55766,0.56541,0.00962,-0.80599,0.801,0.9166,False
celltype_endothelial > 0.125 (high third),1,63,0.55361,0.56403,0.01127,-0.92474,0.8209,0.92979,False
celltype_astrocyte > 0.213 (high third),1,63,0.55088,0.56403,0.01127,-1.16769,0.90547,0.97423,False
pmi > 3 (upper half),1,73,0.55397,0.56541,0.00962,-1.18929,0.8806,0.97423,False
apoeGenotype = e3-4,1,62,0.54961,0.56403,0.01127,-1.27977,0.91045,0.97423,False
PlaqueTotal > 12.1 (upper half),1,95,0.5626,0.57316,0.00809,-1.30574,0.89055,0.97423,False
celltype_oligodendrocyte <= -0.129 (lower half),1,95,0.56245,0.57316,0.00809,-1.32412,0.89055,0.97423,False
TangleTotal > 11.8 (high third),1,63,0.54861,0.56403,0.01127,-1.36922,0.91542,0.97423,False
diagnosis = Alzheimer Disease,1,90,0.55752,0.57095,0.00878,-1.5296,0.92537,0.97423,False
TangleTotal > 8 (upper half),1,92,0.55713,0.57095,0.00878,-1.57378,0.93035,0.97423,False
celltype_endothelial -0.261-0.125 (middle third),1,63,0.54358,0.56403,0.01127,-1.81576,0.97512,0.99502,False
celltype_endothelial > -0.0477 (upper half),1,95,0.55698,0.57316,0.00809,-1.99968,0.9801,0.99502,False
lastMMSE <= 25 (lower half),1,99,0.55614,0.57316,0.00809,-2.10346,0.98507,0.99502,False
celltype_oligodendrocyte <= -0.462 (low third),1,64,0.53769,0.56403,0.01127,-2.33839,0.99005,0.99502,False
lastMMSE <= 18 (low third),1,67,0.54051,0.56541,0.00962,-2.58837,0.99502,0.99502,False
