source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
TMED10,PSEN1,0.7,0.0,0.0,190,0.4440384162785853,0.6277963047041349,0
TMED10,RAB1A,0.4,0.0,0.0,190,0.39235897661962377,0.5844307840167742,0
TMED10,RAB1B,0.4,0.0,0.0,190,0.3446969290669453,0.5395950947466442,0
TMED10,SAR1A,0.4,0.0,0.0,190,0.0004672846568679676,0.004286557919002156,0
TMED10,HSPA9,0.4,0.0,0.0,190,0.2473126224927203,0.435492234165483,0
TMED10,NCSTN,0.5,0.0,0.0,190,0.06582160656573827,0.18603731484785452,0
TMED10,SEC16A,0.4,0.0,0.0,190,0.28648215670518506,0.47283898963836524,0
TMED10,SEC13,0.3,0.0,0.0,190,0.5976445091749343,0.7530758650409428,0
TMED10,SEC24C,0.5,0.0,0.0,190,0.003551303634487735,0.020389079681220865,0
TMED10,SEC23B,0.4,0.0,0.0,190,0.9751449521059711,0.9899859500053644,0
TMED10,SORL1,0.3,0.0,0.0,190,0.0012135968658547876,0.00959717981273671,0
TMED10,TMED2,0.6,0.0,0.0,190,2.013103011647485e-19,2.3083581200224497e-17,0
TMED10,TMED9,0.6,0.0,0.0,190,7.576802757138939e-10,4.344033580759658e-08,0
TMED10,SEC24D,0.7,0.0,0.0,190,0.6447262193263134,0.7968684255936606,0
COPB2,COPA,0.5,0.0,0.0,190,3.7429258811684916e-07,8.879768987048007e-06,0
ITPR2,TMED10,0.3,0.0,0.0,190,0.19128086884009152,0.3742295283585568,0
ITPR2,VDAC1,0.3,0.0,0.0,190,0.1668408418457386,0.3447042017713759,0
LRP1,BACE1,0.5,0.0,0.0,182,0.9978214418179785,0.9978214418179785,0
LRP1,PICALM,0.3,0.0,0.0,190,0.5541688866514252,0.7207338261175436,0
LRP1,VPS35,0.3,0.0,0.0,190,0.21600917920706572,0.40274882193620926,0
ITPR1,SIGMAR1,0.3,0.0,0.0,155,0.06720735298138333,0.18603731484785452,0
ITPR1,TMED10,0.3,0.0,0.0,190,0.01700407520742726,0.06963573656374973,0
ARF6,TMED10,0.3,0.0,0.0,190,0.3954780564908511,0.5863984975554,0
APP,SORL1,0.3,0.0,0.0,190,0.40562906683810823,0.5950379487944957,0
