protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
BACE1,IDE,2,0.3,0.2,IDE->BACE1,0.0306,-0.3959,IDE->BACE1,0.0199,-0.1545,,0.0,0.0,1,0.016833333333333336
APBA1,TMED2,2,0.0,0.2,,0.0,0.0,TMED2->APBA1,0.0053,0.0286,TMED2->APBA1,0.0443,-0.3625,1,0.016533333333333334
SORL1,VPS29,2,0.0,0.3,VPS29->SORL1,0.0371,0.2169,VPS29->SORL1,0.0122,-0.0063,,0.0,0.0,1,0.016433333333333335
SEC23A,SEC31A,2,0.3,0.0,SEC23A->SEC31A,0.0247,0.3114,SEC23A->SEC31A,0.0227,0.2274,,0.0,0.0,1,0.015799999999999998
GGA1,TMED10,2,0.0,0.3,TMED10->GGA1,0.0157,0.1143,TMED10->GGA1,0.0254,-0.0578,,0.0,0.0,1,0.013699999999999999
BACE1,HSPA5,2,0.0,0.3,HSPA5->BACE1,0.0127,0.5227,HSPA5->BACE1,0.0274,-0.068,,0.0,0.0,1,0.013366666666666666
TMED2,VDAC1,2,0.3,0.0,,0.0,0.0,TMED2->VDAC1,0.016,0.1664,TMED2->VDAC1,0.0237,0.4582,1,0.013233333333333333
BACE1,SAR1A,2,0.0,0.2,SAR1A->BACE1,0.0132,-0.0786,SAR1A->BACE1,0.0239,0.1248,,0.0,0.0,1,0.012366666666666666
BIN1,SORL1,2,0.3,0.0,BIN1->SORL1,0.0143,0.0572,,0.0,0.0,BIN1->SORL1,0.0223,-0.0603,1,0.0122
SEC24A,TMED10,2,0.0,0.3,TMED10->SEC24A,0.0106,0.0331,TMED10->SEC24A,0.026,0.1904,,0.0,0.0,1,0.0122
SORL1,TMED9,2,0.0,0.2,,0.0,0.0,TMED9->SORL1,0.0249,0.0056,TMED9->SORL1,0.0116,-0.0251,1,0.012166666666666666
APOE,HSPA5,2,0.3,0.0,,0.0,0.0,APOE->HSPA5,0.0166,0.0163,APOE->HSPA5,0.0193,-0.1089,1,0.011966666666666667
APP,OSBP,2,0.0,0.2,,0.0,0.0,OSBP->APP,0.0225,-0.3554,OSBP->APP,0.0127,2.187,1,0.011733333333333332
CLU,VPS35,2,0.2,0.0,,0.0,0.0,CLU->VPS35,0.0205,0.0599,CLU->VPS35,0.0118,-0.0122,1,0.010766666666666667
GGA3,TMED9,2,0.0,0.2,TMED9->GGA3,0.0252,0.1102,TMED9->GGA3,0.0052,-0.0746,,0.0,0.0,1,0.010133333333333333
IDE,TMED10,2,0.0,0.2,TMED10->IDE,0.0146,0.2047,TMED10->IDE,0.0138,0.2152,,0.0,0.0,1,0.009466666666666667
SNX6,VPS29,2,0.0,0.3,,0.0,0.0,VPS29->SNX6,0.0108,0.0948,VPS29->SNX6,0.0168,0.1408,1,0.0092
BIN1,TMED9,2,0.0,0.2,,0.0,0.0,TMED9->BIN1,0.0134,-0.7703,TMED9->BIN1,0.0135,-0.2369,1,0.008966666666666666
ARF6,TMED9,2,0.0,0.4,TMED9->ARF6,0.015,-0.2161,TMED9->ARF6,0.0116,0.1724,,0.0,0.0,1,0.008866666666666667
LRP1,VLDLR,2,0.0,0.3,VLDLR->LRP1,0.0124,0.1805,VLDLR->LRP1,0.0129,0.0724,,0.0,0.0,1,0.008433333333333333
APOE,VPS35,2,0.2,0.0,,0.0,0.0,APOE->VPS35,0.0066,-0.0091,APOE->VPS35,0.0159,0.0364,1,0.0075
PLCG2,TMED2,2,0.0,0.2,TMED2->PLCG2,0.0085,-0.3527,TMED2->PLCG2,0.0129,0.0979,,0.0,0.0,1,0.007133333333333334
BIN1,TMED10,2,0.0,0.2,TMED10->BIN1,0.0096,0.3027,TMED10->BIN1,0.0074,0.2249,,0.0,0.0,1,0.005666666666666667
SEC31A,TMED9,2,0.0,0.2,TMED9->SEC31A,0.009,0.0651,TMED9->SEC31A,0.008,-0.0338,,0.0,0.0,1,0.005666666666666667
SYK,TMED2,2,0.0,0.2,TMED2->SYK,0.0077,-0.185,TMED2->SYK,0.0089,-0.0316,,0.0,0.0,1,0.005533333333333334
BACE1,SYK,2,0.0,0.2,SYK->BACE1,0.0087,0.1016,SYK->BACE1,0.007,-0.0336,,0.0,0.0,1,0.005233333333333333
