source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SORT1,LRP1,0.3,0.0119,0.2416,676,0.30462683304520904,0.34930543522517304,0
TMED9,GORASP1,0.3,0.0119,0.2762,533,0.0022447042759991117,0.0038998902572913857,1
TMED2,SIGMAR1,0.3,0.0117,0.4519,656,0.00081425132557462,0.001505927182783168,1
TMED9,ARF6,0.4,0.0116,0.1724,676,0.011839881202856176,0.018251726381503307,1
EIF2S1,GGA3,0.2,0.0113,-0.1045,676,0.14098516598129893,0.1744564643797368,0
TMED9,SYK,0.2,0.0112,0.3981,670,1.0573892276152848e-06,2.7766556816767786e-06,1
SORT1,VPS35,0.3,0.0111,0.1641,676,0.0013526031580952738,0.0024234139915873657,1
SEC24B,APP,0.3,0.0111,0.6192,676,0.001347805208614596,0.0024211226723938432,1
PLG,APP,0.2,0.011,-0.0244,676,0.1532731000176279,0.18763681995040568,0
EIF2S1,MFN2,0.2,0.011,-0.2047,676,0.15318820435874544,0.18763681995040568,0
AP4S1,APP,0.4,0.011,0.0112,676,0.01706620074092168,0.025636563558415097,1
MAP2K3,APP,0.3,0.011,-0.1155,665,0.34634465179548785,0.3945117888001583,0
AP4E1,APP,0.4,0.0109,0.1009,675,0.01871545878233522,0.027810444151720588,1
VPS26A,SORL1,0.3,0.0108,-0.0835,676,0.0018643721983388469,0.003280532154621807,1
VPS29,SNX6,0.3,0.0108,0.0948,676,0.001823968824427872,0.0032176680800163485,1
SAR1A,APP,0.4,0.0106,-1.2715,676,0.022022516425594718,0.032513929830062585,1
TMED2,RTN3,0.2,0.0103,-0.0959,676,6.993543471013941e-06,1.6365843224685687e-05,1
ABCA7,CLU,0.2,0.0102,0.1072,629,0.20186993769468586,0.2407045357607346,0
ABCA7,PICALM,0.2,0.0102,-0.0249,629,0.2017455564097726,0.2407045357607346,0
TMED10,SYK,0.2,0.0101,0.0522,670,1.1153945555944882e-05,2.5751391082181475e-05,1
SORL1,EIF2S1,0.2,0.01,-0.0195,676,0.1919879695482536,0.23051958647329576,0
TMED2,GGA1,0.3,0.01,-0.0175,676,0.38888387739684815,0.4415051281337154,0
SIGMAR1,BACE1,0.2,0.0099,0.0052,656,0.20507566012741305,0.24368230426193466,0
APBA2,BACE1,0.4,0.0099,-0.1031,676,0.03201884440585739,0.04579826393187086,1
RAB1A,APP,0.3,0.0099,0.0294,676,0.004055045803688257,0.0066903393595624,1
MFN2,SIGMAR1,0.4,0.0097,0.1146,656,0.5347680845588275,0.5915119649139443,0
TMED2,GGA3,0.3,0.0097,-0.0761,676,0.004848043535714606,0.007866636680593512,1
APOE,OSBP,0.5,0.0096,0.0009,676,0.09634154822026728,0.12435832115486657,0
ABCA7,APOE,0.5,0.0095,0.0287,629,0.6344299358832448,0.6852241693684025,0
ADAM10,SORL1,0.2,0.0094,0.0365,676,4.3820401947708926e-05,9.305073006180167e-05,1
TMED2,ARF6,0.5,0.0093,0.052,676,0.628657281162718,0.681127888881811,0
SAR1B,SEC24D,0.7,0.0093,-0.0065,676,0.7301163810319605,0.7739908630970552,0
APBA2,APP,0.6,0.0091,0.2005,676,0.1876961726196026,0.22615580869051946,0
COPA,ARF6,0.4,0.0091,0.0723,676,0.5532739942516212,0.6071012887481904,0
TMED2,SYK,0.2,0.0089,-0.0316,670,0.00011456851376435601,0.00023251662970465175,1
SORT1,GGA1,0.3,0.0089,-0.0416,676,0.4432519935286319,0.4991119010600634,0
SYK,MAP2K3,0.3,0.0085,0.066,659,0.01590505654206643,0.024102816962426662,1
TMED2,RTN4,0.2,0.0084,-0.1424,676,0.0002587170409055843,0.0004999924835478708,1
HSPA9,ITPR1,0.3,0.0083,-0.0801,676,0.470199651558989,0.5268686649390626,0
SREBF2,ABCA7,0.4,0.0081,0.0246,455,0.14824305707011057,0.18277997000759152,0
TMED9,SEC31A,0.2,0.008,-0.0338,676,0.00047999200655273513,0.0009047520561870734,1
TMED10,APBA1,0.2,0.008,-0.112,676,0.000532459127299792,0.0009981795083985202,1
VDAC1,BACE1,0.2,0.008,0.0063,676,0.3012152321925935,0.34597008305259486,0
NCSTN,APP,0.6,0.0078,-0.0696,676,0.2576202143819674,0.299903058366825,0
OSBP,VDAC1,0.3,0.0078,-0.3404,676,0.024775922400517056,0.0359616763956872,1
TMED10,BIN1,0.2,0.0074,0.2249,676,0.001286626099342664,0.002323356315873367,1
PLG,LRP1,0.3,0.0073,0.0129,676,0.03551166046322843,0.05047938512128338,0
APOE,COPB1,0.2,0.0073,0.0029,676,0.0015822868617743468,0.0028129544209321723,1
HSPA5,APP,0.2,0.0073,0.2456,676,0.0014590136761401386,0.002607276387491988,1
RAB1A,SEC24D,0.5,0.0072,0.0983,676,0.21243629896238295,0.25112744619608157,0
NCSTN,LRP1,0.2,0.0071,-0.0033,676,0.0021645942567897676,0.0037797991083029442,1
SEC16A,APP,0.3,0.007,-0.197,676,0.0441940398883136,0.06154959401449344,0
SYK,BACE1,0.2,0.007,-0.0336,670,0.002549042502850967,0.004369089389664713,1
PSEN1,BACE1,0.3,0.007,-0.0144,676,0.5450987035409476,0.6009131241962107,0
MAPK14,PSEN1,0.2,0.0068,0.0717,672,0.003287382315024741,0.00547631727054969,1
VPS35,EIF2S1,0.2,0.0068,0.0803,676,0.0032144170763339515,0.005367764438149901,1
APOE,VPS35,0.2,0.0066,-0.0091,676,0.004137222219926061,0.006777164017402691,1
APOE,SEC24C,0.3,0.0061,-0.0081,676,0.5994391857176722,0.6525540502749343,0
APOE,SEC16A,0.3,0.0059,0.0009,676,0.09005463219019,0.117122092527128,0
TMED9,SIGMAR1,0.3,0.0059,-0.3089,656,0.0914409224650385,0.1187006691621632,0
ITPR1,APP,0.2,0.0058,-0.0449,676,0.012373670460145371,0.018960100838708277,1
ADAM10,NCSTN,0.2,0.0058,0.0246,676,0.011858316413563923,0.018251726381503307,1
TMED10,GGA3,0.3,0.0058,0.0361,676,0.09322650771291349,0.12079065406117605,0
PREB,APP,0.3,0.0057,-0.6075,676,0.6235755316186808,0.6777566599583766,0
RAB1B,GORASP1,0.3,0.0053,0.0489,533,0.174291127644377,0.21074217191446637,0
TMED2,APBA1,0.2,0.0053,0.0286,676,0.022442680953964494,0.03306330727265005,1
VLDLR,SORL1,0.2,0.0053,0.0051,676,0.022721805645298528,0.033402996333259376,1
PLCG2,BACE1,0.2,0.0052,0.027,669,0.023699181291249476,0.034617912374479066,1
TMED9,GGA3,0.2,0.0052,-0.0746,676,0.023459757249549802,0.03434109146317078,1
SREBF2,SEC24D,0.3,0.0052,0.0147,484,0.20404306406114509,0.24287478905548063,0
LRP1,IDE,0.3,0.005,0.0234,676,0.664671036120105,0.7156395506269676,0
TMED2,SEC24D,0.7,0.0049,-0.0494,676,0.8545743829889488,0.8814800232329787,0
OSBP,SIGMAR1,0.3,0.0049,0.4807,656,0.16258160096988533,0.19692982652690336,0
TMED10,ARF6,0.5,0.0048,-0.1838,676,0.8048166848461072,0.8385006581042438,0
APBA2,PSEN1,0.2,0.0048,0.025,676,0.03653811757018276,0.05172474256848917,0
ADAM10,BACE1,0.3,0.0045,0.0467,676,0.69862158549904,0.7484544405026913,0
TMED10,ABCA7,0.3,0.0044,0.0701,629,0.21702572128133749,0.25601257934560634,0
APP,IDE,0.2,0.0044,-0.0012,676,0.5652335039820056,0.6172708741898727,0
PSEN1,HSPA5,0.2,0.0044,-0.0423,676,0.5696893081231991,0.6211509413451045,0
BIN1,APP,0.6,0.0041,0.9972,676,0.5590835729964139,0.6124992009897018,0
PLCG2,MAP2K3,0.4,0.004,-0.0497,660,0.7961461102669897,0.8324445651423843,0
TMED2,BIN1,0.2,0.0039,0.2015,676,0.0883687105314696,0.11514710766221795,0
ABCA7,BACE1,0.3,0.0038,0.0047,629,0.28824531227760275,0.3316267137909543,0
APBA1,PSEN1,0.3,0.0038,0.1398,676,0.7431914869982391,0.7866396046996746,0
MAPKAPK2,APP,0.2,0.0037,-0.0068,671,0.11190960382884292,0.14153273425412488,0
TMED9,ABCA7,0.2,0.0037,0.0848,629,0.12313117771054975,0.15374637071662112,0
GGA1,SORL1,0.3,0.0036,-0.0068,676,0.7552839530446404,0.7939748495934751,0
APOE,MAP2K3,0.2,0.0033,0.0058,665,0.16034680740088833,0.19456543825716258,0
SEC24C,BACE1,0.2,0.0033,0.0324,676,0.6714224276973433,0.721779109774644,0
SREBF2,VLDLR,0.4,0.0032,-0.0072,484,0.8611686565320141,0.8856263612765706,0
ADAM17,ADAM10,0.2,0.0031,-0.2027,676,0.17829857106545402,0.2152095033211094,0
NCSTN,EIF2S1,0.2,0.0029,0.0035,676,0.21731300339801468,0.25601257934560634,0
AP1G1,GGA1,0.3,0.0029,-0.1405,676,0.4037321799167079,0.45685483516890635,0
SEC24D,TMED9,0.3,0.0028,-0.0079,676,0.8068131332340253,0.8385006581042438,0
PLCG2,APP,0.2,0.0027,0.1549,669,0.25293455007660726,0.2954481671523018,0
COPA,BACE1,0.2,0.0027,-0.1117,676,0.23728223258044248,0.27906012994075974,0
TMED9,RAB1A,0.3,0.0026,0.0512,676,0.46160556466147534,0.5180825913329445,0
SIGMAR1,APP,0.2,0.0026,0.0625,656,0.26161579316568884,0.303016272218845,0
APOE,SIGMAR1,0.2,0.0026,0.0096,656,0.2588351347786437,0.30080839987788327,0
AP2B1,APP,0.6,0.0025,-0.0392,676,0.7213218720374486,0.7682189596931341,0
APOE,PICALM,0.2,0.0025,-0.003,676,0.2733521818112434,0.31590214113265386,0
