region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_microglia > -0.077 (upper half),2,88,0.59006,0.57315,0.01119,1.51066,0.07463,0.30031,False
apoe_genotype = 33  AND  age_at_visit_max 85.7-90 (middle third),2,170,0.59673,0.58359,0.00871,1.50847,0.08955,0.33234,False
apoe_genotype = 33  AND  Study = MAP,2,160,0.5961,0.58355,0.00836,1.50046,0.06965,0.30031,False
educ <= 14 (low third)  AND  apoe_genotype = 33,2,106,0.59323,0.57772,0.01037,1.4953,0.06965,0.30031,False
educ <= 14 (low third)  AND  cogdx = 1,2,78,0.58927,0.56979,0.01307,1.4905,0.06468,0.30031,False
educ <= 14 (low third)  AND  braaksc <= 3 (low third),2,69,0.58767,0.56884,0.01271,1.4809,0.07463,0.30031,False
celltype_oligodendrocyte <= -0.371 (low third),1,134,0.59515,0.58092,0.00974,1.46031,0.07463,0.30031,False
apoe_genotype = 33  AND  celltype_microglia <= -0.077 (lower half),2,128,0.59514,0.58092,0.00974,1.45985,0.07463,0.30031,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  age_at_visit_max 85.7-90 (middle third),2,107,0.59275,0.57772,0.01037,1.44867,0.07463,0.30031,False
ceradsc = 4  AND  celltype_endothelial <= -0.043 (lower half),2,51,0.5815,0.56094,0.01428,1.43925,0.09453,0.33234,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_neuron > 0.0321 (upper half),2,110,0.59257,0.57772,0.01037,1.43129,0.07463,0.30031,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  ceradsc = 2,2,70,0.58669,0.56884,0.01271,1.40367,0.08955,0.33234,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_astrocyte > 0.235 (high third),2,52,0.58096,0.56094,0.01428,1.4016,0.0995,0.34619,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  age_at_visit_max > 88.9 (upper half),2,89,0.58882,0.57315,0.01119,1.39972,0.09453,0.33234,False
apoe_genotype = 33  AND  cts_mmse30_lv <= 23 (low third),2,86,0.58879,0.57315,0.01119,1.39703,0.09453,0.33234,False
apoe_genotype = 33  AND  cts_mmse30_lv > 28 (high third),2,59,0.58323,0.56586,0.01248,1.3921,0.10448,0.34896,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_at_visit_max <= 88.9 (lower half),2,76,0.58785,0.56979,0.01307,1.38192,0.0796,0.31651,False
