region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_astrocyte > 0.0206 (upper half),2,184,0.64345,0.62702,0.01145,1.43434,0.0796,0.19654,False
bScore = Braak Stage III-IV,1,324,0.64554,0.6341,0.00802,1.42576,0.0597,0.16657,False
Braak = Stage IV,1,164,0.63842,0.62163,0.0118,1.42205,0.06468,0.17023,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_neuron > 0.277 (high third),2,98,0.63564,0.61518,0.01441,1.41964,0.06468,0.17023,False
celltype_astrocyte > 0.0206 (upper half),1,482,0.6468,0.63866,0.00589,1.38356,0.0796,0.19654,False
PMI 5.17-10 (middle third)  AND  celltype_oligodendrocyte > -0.11 (upper half),2,135,0.63838,0.62091,0.01264,1.38199,0.09453,0.21796,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  PMI <= 6.83 (lower half),2,146,0.64037,0.62426,0.01188,1.35632,0.08458,0.20519,False
ADoutcome = Other  AND  celltype_microglia > -0.0479 (upper half),2,79,0.63012,0.608,0.01655,1.33612,0.10448,0.23134,False
ADoutcome = Other  AND  celltype_microglia <= -0.0479 (lower half),2,113,0.63376,0.61579,0.01355,1.32662,0.09453,0.21796,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  bScore = Braak Stage III-IV,2,100,0.63427,0.61518,0.01441,1.32433,0.09453,0.21796,False
dataContributionGroup = Rush,1,355,0.64484,0.63556,0.00704,1.31803,0.09453,0.21796,False
PMI 5.17-10 (middle third)  AND  amyThal = Phase 5,2,47,0.62029,0.59712,0.0176,1.31658,0.08458,0.20519,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  reag = Low Likelihood,2,68,0.62859,0.60589,0.01728,1.31415,0.0995,0.22388,False
cohort = CLINCOR,1,65,0.6231,0.60113,0.01702,1.29048,0.10448,0.23134,False
