step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
4,apoeGenotype,proteomePC3 + proteomePC1 + proteomePC5 + apoeGenotype,0.57519,0.57105,0.00277,1.46,189,clinical/pathology
4,pmi,proteomePC3 + proteomePC1 + proteomePC5 + pmi,0.57173,0.5721,-0.0007,-0.31,190,technical
4,diagnosis,proteomePC3 + proteomePC1 + proteomePC5 + diagnosis,0.57038,0.5725,-0.00205,-2.06,190,clinical/pathology
4,CERAD,proteomePC3 + proteomePC1 + proteomePC5 + CERAD,0.56433,0.57279,-0.00809,-6.12,190,clinical/pathology
4,Braak,proteomePC3 + proteomePC1 + proteomePC5 + Braak,0.57343,0.57208,0.00101,1.72,190,clinical/pathology
4,PlaqueTotal,proteomePC3 + proteomePC1 + proteomePC5 + PlaqueTotal,0.568,0.5722,-0.00443,-4.53,190,clinical/pathology
4,TangleTotal,proteomePC3 + proteomePC1 + proteomePC5 + TangleTotal,0.57192,0.57148,-0.00051,0.39,190,clinical/pathology
4,lastMMSE,proteomePC3 + proteomePC1 + proteomePC5 + lastMMSE,0.57106,0.57263,-0.00137,-3.56,190,clinical/pathology
4,celltype_neuron,proteomePC3 + proteomePC1 + proteomePC5 + celltype_neuron,0.57187,0.57219,-0.00056,-0.33,190,proteome-derived
4,celltype_astrocyte,proteomePC3 + proteomePC1 + proteomePC5 + celltype_astrocyte,0.57601,0.57171,0.00358,5.55,190,proteome-derived
4,celltype_microglia,proteomePC3 + proteomePC1 + proteomePC5 + celltype_microglia,0.57125,0.57142,-0.00118,-0.11,190,proteome-derived
4,celltype_oligodendrocyte,proteomePC3 + proteomePC1 + proteomePC5 + celltype_oligodendrocyte,0.57215,0.57183,-0.00027,0.3,190,proteome-derived
4,celltype_endothelial,proteomePC3 + proteomePC1 + proteomePC5 + celltype_endothelial,0.57187,0.57157,-0.00055,0.26,190,proteome-derived
4,proteomePC2,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC2,0.56178,0.57199,-0.01064,-11.57,190,proteome-derived
4,proteomePC4,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC4,0.56829,0.57255,-0.00414,-3.39,190,proteome-derived
4,proteomePC6,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC6,0.5728,0.57218,0.00037,0.97,190,proteome-derived
4,proteomePC7,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC7,0.57051,0.57163,-0.00191,-1.05,190,proteome-derived
4,proteomePC8,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8,0.57754,0.5719,0.00512,6.24,190,proteome-derived
4,proteomePC9,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC9,0.55924,0.57181,-0.01319,-16.34,190,proteome-derived
4,proteomePC10,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC10,0.57012,0.57215,-0.0023,-1.9,190,proteome-derived
5,sex,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + sex,0.57558,0.57775,-0.00196,-2.23,190,clinical/pathology
5,ageDeath,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + ageDeath,0.57693,0.57738,-0.00062,-0.37,190,clinical/pathology
5,apoeGenotype,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + apoeGenotype,0.58108,0.57537,0.00353,1.83,189,clinical/pathology
5,pmi,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + pmi,0.57557,0.57708,-0.00197,-1.87,190,technical
5,diagnosis,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + diagnosis,0.57576,0.57665,-0.00178,-0.67,190,clinical/pathology
5,CERAD,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + CERAD,0.57092,0.57668,-0.00662,-6.15,190,clinical/pathology
5,Braak,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + Braak,0.58033,0.57738,0.00279,2.62,190,clinical/pathology
5,PlaqueTotal,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + PlaqueTotal,0.57407,0.57752,-0.00348,-2.36,190,clinical/pathology
5,TangleTotal,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + TangleTotal,0.57847,0.577,0.00092,0.88,190,clinical/pathology
5,lastMMSE,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + lastMMSE,0.57738,0.57693,-0.00017,0.65,190,clinical/pathology
5,celltype_neuron,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + celltype_neuron,0.57625,0.57724,-0.0013,-0.89,190,proteome-derived
5,celltype_astrocyte,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + celltype_astrocyte,0.58029,0.57619,0.00274,5.63,190,proteome-derived
5,celltype_microglia,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + celltype_microglia,0.57572,0.57703,-0.00183,-1.25,190,proteome-derived
5,celltype_oligodendrocyte,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + celltype_oligodendrocyte,0.58113,0.57719,0.00359,3.88,190,proteome-derived
5,celltype_endothelial,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + celltype_endothelial,0.57709,0.57696,-0.00045,0.14,190,proteome-derived
5,proteomePC2,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC2,0.56869,0.57692,-0.00885,-12.03,190,proteome-derived
5,proteomePC4,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC4,0.57357,0.57714,-0.00397,-3.33,190,proteome-derived
5,proteomePC6,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC6,0.57773,0.57711,0.00019,0.91,190,proteome-derived
5,proteomePC7,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC7,0.57597,0.57715,-0.00157,-1.7,190,proteome-derived
5,proteomePC9,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC9,0.56667,0.57707,-0.01087,-7.59,190,proteome-derived
5,proteomePC10,proteomePC3 + proteomePC1 + proteomePC5 + proteomePC8 + proteomePC10,0.5755,0.57714,-0.00205,-1.7,190,proteome-derived
