step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
3,celltype_neuron,proteomePC1 + proteomePC8 + celltype_neuron,0.61069,0.6243,-0.01373,-45.06,964,proteome-derived
3,celltype_astrocyte,proteomePC1 + proteomePC8 + celltype_astrocyte,0.62945,0.62438,0.00503,23.92,964,proteome-derived
3,celltype_microglia,proteomePC1 + proteomePC8 + celltype_microglia,0.62344,0.6244,-0.00099,-6.99,964,proteome-derived
3,celltype_oligodendrocyte,proteomePC1 + proteomePC8 + celltype_oligodendrocyte,0.62888,0.62427,0.00445,34.61,964,proteome-derived
3,celltype_endothelial,proteomePC1 + proteomePC8 + celltype_endothelial,0.6112,0.62443,-0.01322,-84.39,964,proteome-derived
3,proteomePC2,proteomePC1 + proteomePC8 + proteomePC2,0.58363,0.62435,-0.04079,-382.93,964,proteome-derived
3,proteomePC3,proteomePC1 + proteomePC8 + proteomePC3,0.62619,0.62436,0.00177,17.18,964,proteome-derived
3,proteomePC4,proteomePC1 + proteomePC8 + proteomePC4,0.6265,0.62427,0.00208,11.28,964,proteome-derived
3,proteomePC5,proteomePC1 + proteomePC8 + proteomePC5,0.61788,0.62445,-0.00654,-32.02,964,proteome-derived
3,proteomePC6,proteomePC1 + proteomePC8 + proteomePC6,0.62738,0.62435,0.00296,16.57,964,proteome-derived
3,proteomePC7,proteomePC1 + proteomePC8 + proteomePC7,0.61733,0.62442,-0.00709,-52.77,964,proteome-derived
3,proteomePC9,proteomePC1 + proteomePC8 + proteomePC9,0.62473,0.62437,0.0003,1.54,964,proteome-derived
3,proteomePC10,proteomePC1 + proteomePC8 + proteomePC10,0.62529,0.62444,0.00086,3.5,964,proteome-derived
4,dataContributionGroup,proteomePC1 + proteomePC8 + celltype_astrocyte + dataContributionGroup,0.62874,0.62953,-0.00071,-2.16,964,technical
4,cohort,proteomePC1 + proteomePC8 + celltype_astrocyte + cohort,0.62766,0.62944,-0.00179,-3.07,964,technical
4,sex,proteomePC1 + proteomePC8 + celltype_astrocyte + sex,0.62817,0.62944,-0.00128,-7.66,964,clinical/pathology
4,race,proteomePC1 + proteomePC8 + celltype_astrocyte + race,0.62663,0.62879,-0.00282,-4.69,961,clinical/pathology
4,isHispanic,proteomePC1 + proteomePC8 + celltype_astrocyte + isHispanic,0.62956,0.62941,0.00012,0.74,963,clinical/pathology
4,ageDeath,proteomePC1 + proteomePC8 + celltype_astrocyte + ageDeath,0.63047,0.62924,0.00102,7.24,963,clinical/pathology
4,PMI,proteomePC1 + proteomePC8 + celltype_astrocyte + PMI,0.63685,0.63691,0.0074,-0.22,818,technical
4,apoeGenotype,proteomePC1 + proteomePC8 + celltype_astrocyte + apoeGenotype,0.62796,0.6292,-0.00149,-4.75,895,clinical/pathology
4,amyThal,proteomePC1 + proteomePC8 + celltype_astrocyte + amyThal,0.62052,0.62452,-0.00893,-6.27,391,clinical/pathology
4,amyA,proteomePC1 + proteomePC8 + celltype_astrocyte + amyA,0.62297,0.62537,-0.00648,-2.83,398,clinical/pathology
4,amyCerad,proteomePC1 + proteomePC8 + celltype_astrocyte + amyCerad,0.63366,0.63397,0.00421,-0.62,676,clinical/pathology
4,Braak,proteomePC1 + proteomePC8 + celltype_astrocyte + Braak,0.62994,0.63102,0.00049,-1.72,908,clinical/pathology
4,mayoDx,proteomePC1 + proteomePC8 + celltype_astrocyte + mayoDx,0.59328,0.5958,-0.03617,-2.28,285,clinical/pathology
4,amyAny,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny,0.63549,0.63397,0.00604,7.01,676,clinical/pathology
4,bScore,proteomePC1 + proteomePC8 + celltype_astrocyte + bScore,0.63069,0.63095,0.00124,-0.68,908,clinical/pathology
4,reag,proteomePC1 + proteomePC8 + celltype_astrocyte + reag,0.63219,0.63374,0.00274,-3.25,676,clinical/pathology
4,ADoutcome,proteomePC1 + proteomePC8 + celltype_astrocyte + ADoutcome,0.6298,0.62899,0.00035,2.14,961,clinical/pathology
4,derivedOutcomeBasedOnMayoDx,proteomePC1 + proteomePC8 + celltype_astrocyte + derivedOutcomeBasedOnMayoDx,0.62882,0.62938,-0.00063,-4.52,964,clinical/pathology
4,celltype_neuron,proteomePC1 + proteomePC8 + celltype_astrocyte + celltype_neuron,0.62063,0.62941,-0.00882,-44.71,964,proteome-derived
4,celltype_microglia,proteomePC1 + proteomePC8 + celltype_astrocyte + celltype_microglia,0.63127,0.62944,0.00182,15.48,964,proteome-derived
4,celltype_oligodendrocyte,proteomePC1 + proteomePC8 + celltype_astrocyte + celltype_oligodendrocyte,0.62956,0.62939,0.00011,1.07,964,proteome-derived
4,celltype_endothelial,proteomePC1 + proteomePC8 + celltype_astrocyte + celltype_endothelial,0.6184,0.62947,-0.01105,-77.21,964,proteome-derived
4,proteomePC2,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC2,0.58922,0.6293,-0.04023,-209.78,964,proteome-derived
4,proteomePC3,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC3,0.63161,0.62942,0.00216,8.63,964,proteome-derived
4,proteomePC4,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC4,0.63229,0.62945,0.00284,24.27,964,proteome-derived
4,proteomePC5,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC5,0.6212,0.62943,-0.00825,-45.3,964,proteome-derived
4,proteomePC6,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC6,0.63406,0.62939,0.00461,33.59,964,proteome-derived
4,proteomePC7,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC7,0.61746,0.62939,-0.01198,-97.57,964,proteome-derived
4,proteomePC9,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC9,0.63288,0.62943,0.00343,16.05,964,proteome-derived
4,proteomePC10,proteomePC1 + proteomePC8 + celltype_astrocyte + proteomePC10,0.62916,0.62932,-0.00028,-0.51,964,proteome-derived
5,dataContributionGroup,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + dataContributionGroup,0.63443,0.63528,-0.00106,-2.28,676,technical
5,cohort,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + cohort,0.63489,0.63491,-0.0006,-0.03,676,technical
5,sex,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + sex,0.63413,0.63544,-0.00136,-3.73,676,clinical/pathology
5,race,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + race,0.6336,0.63528,-0.00189,-2.5,673,clinical/pathology
5,isHispanic,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + isHispanic,0.63519,0.63532,-0.0003,-0.32,675,clinical/pathology
5,ageDeath,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + ageDeath,0.63457,0.63531,-0.00092,-2.06,676,clinical/pathology
5,PMI,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + PMI,0.63709,0.63674,0.00159,1.56,662,technical
5,apoeGenotype,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + apoeGenotype,0.63468,0.63518,-0.00081,-2.16,607,clinical/pathology
5,amyThal,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + amyThal,0.63753,0.64086,0.00204,-1.95,200,clinical/pathology
5,amyA,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + amyA,0.63723,0.64019,0.00174,-2.71,207,clinical/pathology
5,amyCerad,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + amyCerad,0.63366,0.63564,-0.00183,-2.91,676,clinical/pathology
5,Braak,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + Braak,0.63546,0.63723,-3e-05,-2.59,641,clinical/pathology
5,mayoDx,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + mayoDx,,,,,0,clinical/pathology
5,bScore,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + bScore,0.63564,0.63706,0.00015,-2.8,641,clinical/pathology
5,reag,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + reag,0.63313,0.63534,-0.00236,-4.05,676,clinical/pathology
5,ADoutcome,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + ADoutcome,0.63499,0.63537,-0.00051,-1.0,676,clinical/pathology
5,derivedOutcomeBasedOnMayoDx,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + derivedOutcomeBasedOnMayoDx,0.63549,0.63549,0.0,0.02,676,clinical/pathology
5,celltype_neuron,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + celltype_neuron,0.62442,0.63559,-0.01107,-33.37,676,proteome-derived
