source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
TMED2,TMED10,0.9,0.0,0.0,400,2.5634632210993856e-21,2.2045783701454716e-19,0
APOE,VLDLR,0.3,0.0,0.0,368,0.5959819694284726,0.7218936531105442,0
TMED2,SEC24D,0.7,0.0,0.0,392,0.03826869213931548,0.08718165626440083,0
RAB1A,TMED10,0.4,0.0,0.0,400,0.024194497398065066,0.05966241652282711,0
RAB1A,ARF6,0.3,0.0,0.0,400,0.04344293822329353,0.09672731876254352,0
TMED2,MFN2,0.3,0.0,0.0,400,2.0244341823408402e-11,5.158558212779622e-10,0
RAB1A,TMED2,0.4,0.0,0.0,400,0.2867397186257567,0.44258643393946356,0
MAP2K3,PSEN1,0.2,0.0,0.0,352,0.4661915992846027,0.6164027082612968,0
RAB1B,ARF6,0.3,0.0,0.0,400,4.2531443316995715e-10,7.1369836590470855e-09,0
VPS35,SORL1,0.5,0.0,0.0,400,0.3747323517320789,0.5393637196478458,0
TMED2,PREB,0.3,0.0,0.0,400,0.31815399595581845,0.47813664566732866,0
TMED2,MIA3,0.3,0.0,0.0,400,0.1922719592570594,0.31798824030975203,0
MAPK14,BACE1,0.4,0.0,0.0,368,0.483378744207496,0.6271783460982912,0
TMED9,SEC24D,0.5,0.0,0.0,392,0.003927731430426575,0.013181849873821871,0
VPS35,VPS26A,0.5,0.0,0.0,400,0.6167486757570287,0.736672029376451,0
TMED9,NCSTN,0.6,0.0,0.0,384,0.015732840593259224,0.042783376791155514,0
ABCA7,APOE,0.5,0.0,0.0,280,0.8094224938978473,0.8742271205678477,0
TMED9,PSEN1,0.8,0.0,0.0,400,0.051235355865912914,0.11050133177350496,0
AP2A1,AP2B1,0.5,0.0,0.0,400,4.4499997902205073e-94,1.5307999278358545e-91,0
ADAM10,APP,0.8,0.0,0.0,312,0.18212233891172624,0.30412662420210596,0
VPS35,VPS29,0.5,0.0,0.0,400,1.9067864382322642e-19,9.370493353598556e-18,0
VDAC1,HSPA9,0.3,0.0,0.0,400,0.011085153805343246,0.03151481743006675,0
VDAC1,ITPR2,0.4,0.0,0.0,400,0.007134877172010911,0.02172033404576773,0
VDAC1,MFN2,0.4,0.0,0.0,400,1.0408431537301811e-05,6.51000081605786e-05,0
VDAC1,TMED10,0.4,0.0,0.0,400,0.7118708758379683,0.8108727857227188,0
