source,target,A,B_coef
HSPA5,ADAM10,0.16008746980396285,-0.05856056491084292
AP4E1,OSBP,0.16007601678556496,-0.058558435393699086
COPG2,SEC24D,0.1598747315823514,-0.05852098927970704
SEC13,BACE1,0.15630623063834076,-0.0578506875928898
APBA2,OSBP,0.15358645478292637,-0.057331389187844306
COPZ1,GGA2,0.1510924526910015,-0.05684854086335532
APBA1,COPB1,0.1476806580637413,0.05617727389181927
GGA1,ADAM17,0.14347286678541038,-0.05533149848119789
BIN1,PICALM,0.14308850244669755,0.05525321734627837
SAR1B,PICALM,0.1377045147530577,0.0541378047460156
SORL1,GGA1,0.13368390121698065,0.0532807053751931
ADAM10,COPG2,0.13198767348665952,0.052912565498434094
SEC23A,SEC24B,0.12080776299073041,0.05037992432902712
VPS26A,RAB1A,0.11817088803477292,0.04975333734715409
MAPK14,MAPKAPK2,0.11715342910521416,-0.04950832522449754
SORL1,SAR1B,0.1165135848984663,0.049353298984141473
SNX6,OSBP,0.10955897011725219,0.047618651624957306
ITPR2,COPG2,0.10631157282729882,0.04677542374889391
APBA2,AP3B2,0.10620172011404772,0.04674650484013516
SNX6,APBA2,0.10536263266440961,-0.046524739610973434
MIA3,COPE,0.10433169783175855,-0.04625012700134049
APOE,SEC13,0.09775141524614059,-0.04443844005086656
HSPA5,RAB1A,0.097712525656317,0.04442741447829126
AP3B2,PREB,0.09559869018894013,-0.04382214825857518
ITPR2,RTN4,0.09412358598428473,0.043392644372413906
GGA1,COPB1,0.09226947095029599,-0.04284414418700447
MAPKAPK2,TMED2,0.0889166533904211,-0.041826626749605536
IDE,APP,0.08817536312220912,-0.041596997671315895
SEC23B,GGA1,0.08503524778199338,-0.04060450769887904
ITPR2,SEC16A,0.08157883985775208,-0.03947284618372035
SAR1B,SAR1A,0.08126598559932252,0.03936827241529602
ECE1,SAR1B,0.08114930379826962,-0.03932917672247098
VPS35,CLU,0.07859455886831657,0.03846005784183448
BIN1,AP2A1,0.07841934258339585,0.03839950779691532
AP4E1,SYK,0.07828045913776843,0.03835142540425846
SEC31A,ITPR2,0.07634503552797299,-0.03767311050412129
CLU,APBA1,0.07474899876889164,0.03710176910999419
MIA3,PREB,0.0672825603571754,0.034269969165309895
APOE,MAPK14,0.06534647836002376,0.03348819135477753
HSPA5,MFN2,0.06355156873574681,0.032743930685339304
TMED9,PLG,0.062135371981788805,-0.03214274512824266
SNX6,TMED2,0.05883796727796756,-0.030691800792994675
MFN2,TMED9,0.05685283768425724,0.029781095154614173
COPA,APBA1,0.056261711943492526,0.029504133531505675
APOE,AP2B1,0.055512420895072294,-0.02914910648828574
AP1G1,COPG1,0.0553717668178447,0.029081959839350524
PSEN1,BACE1,0.05381353770993929,-0.028327135254162795
SEC23B,SEC24B,0.0534977896251161,0.028171675791730518
ADAM10,ABCA7,0.050473859800442396,0.02663731285472947
SORL1,ABCA7,0.05039461763566258,0.026595946627968534
VPS26A,COPA,0.050100922206354766,0.02644209175459843
GGA3,BACE1,0.04970194860273771,0.02623171164826553
SORT1,TMED10,0.048056528958502896,0.025346808768604553
