version,variable,protein,beta,se,z,p,n,strata,strata_same_sign,q
cell,sex,ABCA7,-0.04495970760904815,0.06284516465293218,-0.7154044047357023,0.4743591915285851,1087.0,6.0,2.0,0.643198903767573
cell,sex,ADAM10,0.0839086944126444,0.023463259144306234,3.5761738766375215,0.0003486597952305785,1313.0,6.0,6.0,0.003486597952305785
cell,sex,ADAM17,-0.030004314564471585,0.04846435790100188,-0.619100631143435,0.5358500675779971,1281.0,6.0,4.0,0.6914194420361254
cell,sex,AP1G1,-0.006820602518263672,0.03763478477670131,-0.1812313411311475,0.8561859952418425,1313.0,6.0,3.0,0.927361466084295
cell,sex,AP2A1,-0.040299650102703304,0.024306554826575885,-1.6579745829977173,0.0973225966813039,1313.0,6.0,5.0,0.23593356771225188
cell,sex,AP2B1,-0.039236113847443174,0.030024369523351763,-1.3068089179000706,0.19127761567517476,1313.0,6.0,5.0,0.3923643398465123
cell,sex,AP3B2,-0.02408222826858257,0.022582962083320522,-1.0663892619458182,0.2862477137600815,1155.0,6.0,5.0,0.481533988826422
cell,sex,AP4B1,-0.073207052977194,0.061286841603580375,-1.1944987057860923,0.23228294667041072,1079.0,6.0,4.0,0.4321543193868106
cell,sex,AP4E1,0.0674283702344498,0.0644632227889306,1.0459975055114428,0.2955621840861643,1178.0,6.0,5.0,0.481533988826422
cell,sex,AP4M1,0.1438921289078991,0.07633026520498085,1.8851254940813382,0.059412896820918486,900.0,5.0,4.0,0.1828089132951338
cell,sex,AP4S1,-0.11300507153171163,0.06065181742283838,-1.863177004967368,0.062437366994849516,1240.0,6.0,5.0,0.18499960591066525
cell,sex,APBA1,-0.06788592589166872,0.04025089681640656,-1.6865692757433897,0.09168620393123711,1313.0,6.0,4.0,0.22921550982809277
cell,sex,APBA2,-0.142144548918702,0.047961135854633415,-2.9637444231832086,0.0030392059033090215,1313.0,6.0,4.0,0.020261372688726808
cell,sex,APOE,-0.0314438485598861,0.05341939946180346,-0.5886222772378681,0.5561146864286658,1313.0,6.0,3.0,0.7061773795919566
cell,sex,APP,0.04495576603337876,0.04337587486825402,1.0364232691541868,0.30000471931672434,1225.0,6.0,4.0,0.481533988826422
cell,sex,ARF6,0.05405652823799327,0.04457856256359703,1.2126126355212712,0.22527795567640319,1313.0,6.0,3.0,0.42910086795505364
cell,sex,BACE1,0.05354625346901054,0.05294173852586177,1.0114184943672273,0.3118161730993134,1305.0,6.0,4.0,0.481533988826422
cell,sex,BIN1,0.07193716523427508,0.02992497862239752,2.4039170133419345,0.016220455006652226,1313.0,6.0,6.0,0.07209091114067656
cell,sex,CLU,-0.07943230603316166,0.04639900418280366,-1.7119398881970136,0.0869077468278261,1313.0,6.0,4.0,0.22563329836106782
cell,sex,COPA,-0.0390559211026767,0.05599165910118819,-0.6975310560470229,0.48547051094767624,1313.0,6.0,5.0,0.6472940145969017
cell,sex,COPB1,-0.007973581995772822,0.055000451433991196,-0.14497302818218352,0.8847321671806136,1313.0,6.0,5.0,0.9374192700555871
cell,sex,COPB2,-0.15271099968906407,0.049439560873130686,-3.08884215377526,0.00200938167053699,1313.0,6.0,6.0,0.014613684876632654
cell,sex,COPE,-0.12123505473665584,0.056922227054401905,-2.1298368143746145,0.033185088160811685,1313.0,6.0,5.0,0.12641938346975878
cell,sex,COPG1,-0.02095812356348056,0.058111174608822334,-0.3606556519389084,0.718356881032942,1313.0,6.0,4.0,0.8707356133732631
cell,sex,COPG2,-0.17302453760890701,0.055691383527990766,-3.1068457389273516,0.001890950449640524,1313.0,6.0,5.0,0.014613684876632654
cell,sex,COPZ1,-0.08413497767613423,0.0575609494472746,-1.4616676494052838,0.14383230642908004,1313.0,6.0,5.0,0.32875955755218295
cell,sex,ECE1,-0.06426099782194629,0.05201065659848314,-1.2355352157546196,0.21663137858223047,1297.0,6.0,5.0,0.42269537284337655
cell,sex,EIF2S1,-0.32077441660658346,0.05648582629326546,-5.67884791029122,1.3560498403840486e-08,1313.0,6.0,6.0,5.424199361536195e-07
cell,sex,GGA1,-0.21802390910519484,0.043735791189681066,-4.985022636486224,6.195455908985518e-07,1313.0,6.0,5.0,1.6521215757294714e-05
cell,sex,GGA2,0.09607840720314859,0.04911528817785639,1.9561812781232037,0.05044380316317404,1313.0,6.0,5.0,0.16814601054391345
cell,sex,GGA3,-0.15784192829559182,0.038670084483625904,-4.081758041217285,4.4696315940255776e-05,1313.0,6.0,6.0,0.0005108150393172089
cell,sex,GORASP1,0.14559119233861786,0.07051428255982142,2.064705008025917,0.0389509204506431,928.0,6.0,6.0,0.13548146243701947
cell,sex,HSPA5,-0.04937460761393132,0.05079088133294662,-0.9721155907941177,0.33099304672831176,1313.0,6.0,5.0,0.49036006922712855
cell,sex,HSPA9,-0.10237794106195162,0.04649070574206603,-2.2021163032015956,0.027657094147209172,1313.0,6.0,4.0,0.11062837658883669
cell,sex,IDE,-0.2526328685188993,0.05659210170881406,-4.4641011888687725,8.04055609862722e-06,1313.0,6.0,6.0,0.00011316948296484181
cell,sex,ITPR1,0.04028674697371446,0.043624657337659384,0.923485694383588,0.35575415207738204,1313.0,6.0,3.0,0.5082202172534028
cell,sex,ITPR2,0.04655652561597906,0.0360269548473596,1.29226924155071,0.19626391999029658,1313.0,6.0,5.0,0.39252783998059315
cell,sex,LRP1,-0.006839522922797627,0.03817476520783374,-0.17916345747148452,0.8578093561279729,1313.0,6.0,3.0,0.927361466084295
cell,sex,MAP2K3,0.0025335784216759328,0.05870959869293376,0.04315441559952057,0.9655784422925124,1239.0,6.0,3.0,0.9860742523540086
cell,sex,MAPK14,0.012814040763675422,0.0450644498695229,0.2843492109806396,0.7761427769016336,1271.0,6.0,3.0,0.9131091492960396
cell,sex,MAPKAPK2,-0.001493148637081209,0.0450099956118218,-0.03317371212293645,0.9735360612677451,1235.0,6.0,2.0,0.9860742523540086
cell,sex,MFN2,-0.08843584362354834,0.03586024735800473,-2.466124752031519,0.013658375531202338,1313.0,6.0,5.0,0.06427470838212865
cell,sex,MIA3,-0.011635860221562589,0.04854926835706687,-0.23967117559803278,0.8105851822620974,1313.0,6.0,5.0,0.9133354166333492
cell,sex,NCSTN,0.10266535898706212,0.05739673187890479,1.7886969453881931,0.07366363517363426,1297.0,6.0,4.0,0.20321002806519797
cell,sex,OSBP,0.04257900372618962,0.05087207774738054,0.8369818102894777,0.4026027925493031,1313.0,6.0,4.0,0.5553141966197284
cell,sex,PICALM,-0.024873479726281955,0.047342378771831485,-0.5253956470197811,0.5993081789422847,1313.0,6.0,3.0,0.7491352236778559
cell,sex,PLCG2,-0.0016258843746037289,0.05137477442137847,-0.03164752337923946,0.9747531441760112,1245.0,6.0,3.0,0.9860742523540086
cell,sex,PLG,-0.05182828049500494,0.05730496410015028,-0.9044291591287992,0.3657678822365268,1313.0,6.0,3.0,0.5133584312091605
cell,sex,PREB,0.15453761759061335,0.05362323250217219,2.8819153635386168,0.003952658889033596,1313.0,6.0,4.0,0.024324054701745205
cell,sex,PSEN1,0.1155196629385572,0.059966632883158545,1.9263990219967906,0.05405456946519685,1313.0,6.0,6.0,0.1729746222886299
cell,sex,RAB1A,0.030241064437916066,0.03167645911944646,0.9546857596640532,0.3397366333854983,1313.0,6.0,3.0,0.49416237583345207
cell,sex,RAB1B,-0.013327028778631697,0.04668202849168341,-0.2854852115307277,0.7752724326953346,1313.0,6.0,4.0,0.9131091492960396
cell,sex,RTN3,0.04193291004259798,0.03770301370812513,1.11218987339363,0.26605652101357724,1203.0,6.0,5.0,0.472989370690804
cell,sex,RTN4,0.028582347546125642,0.042771725748643484,0.6682533156154481,0.503971907776174,1243.0,6.0,3.0,0.6609467642966217
cell,sex,SAR1A,-0.024029669976724524,0.056294921119075664,-0.4268532489084884,0.6694862190943065,1313.0,6.0,4.0,0.8239830388853002
cell,sex,SAR1B,-0.10367228568406639,0.04533602825179466,-2.2867527148226188,0.022210260885679428,1313.0,6.0,5.0,0.09351688793970285
cell,sex,SEC13,0.0009534573885886389,0.05462617331787324,0.01745422259473327,0.9860742523540087,1313.0,6.0,2.0,0.9860742523540086
cell,sex,SEC16A,0.13503983818483845,0.04903975284007878,2.7536810518847936,0.005892916581332544,1313.0,6.0,6.0,0.03367380903618596
cell,sex,SEC23A,-0.008766173127074605,0.04067315345405983,-0.21552725526866176,0.8293562647072098,1313.0,6.0,3.0,0.9215069607857888
cell,sex,SEC23B,-0.047505270460471045,0.047673009534087825,-0.9964814666567916,0.31901626759750457,1313.0,6.0,5.0,0.481533988826422
cell,sex,SEC24A,0.08801410170694147,0.054075675428744814,1.6276098450756684,0.1036076402482577,1313.0,6.0,4.0,0.24378268293707694
cell,sex,SEC24B,0.07017625407799508,0.04937528498111013,1.4212830185150918,0.1552344982591149,1313.0,6.0,4.0,0.3356421583980863
cell,sex,SEC24C,-0.08091737472963233,0.04734509173855114,-1.7090974324534822,0.08743290311491378,1313.0,6.0,5.0,0.22563329836106782
cell,sex,SEC24D,0.0718372439697642,0.05397201620107581,1.331009086303733,0.18318602117982496,1305.0,6.0,4.0,0.38565478143121046
cell,sex,SEC31A,0.0064672317584839505,0.0469966661248379,0.13761043690428917,0.8905483065528077,1313.0,6.0,3.0,0.9374192700555871
cell,sex,SIGMAR1,-0.01753612977274712,0.06892361215748022,-0.2544284784825216,0.7991645520268812,1071.0,6.0,4.0,0.9133309166021499
cell,sex,SNX4,0.24485970557014156,0.038502922005872964,6.359509689492979,2.0239876390386412e-10,1313.0,6.0,6.0,1.619190111230913e-08
cell,sex,SNX6,0.10714406554265513,0.042444650761314096,2.524324352323589,0.011592091814805045,1313.0,6.0,5.0,0.05796045907402522
cell,sex,SORL1,0.08250081788737117,0.057650001402710725,1.4310635885516552,0.15241199155867674,1313.0,6.0,4.0,0.3356421583980863
cell,sex,SORT1,-0.10467845532403772,0.0411393173981729,-2.544486927454143,0.010943840805840967,1313.0,6.0,4.0,0.05796045907402522
cell,sex,SREBF2,0.1370252223624122,0.07595276885440994,1.804084622972324,0.07121804193738476,809.0,5.0,3.0,0.20321002806519797
cell,sex,SYK,0.05413746918652831,0.046598963029254155,1.1617741182897479,0.24532722978342092,1227.0,6.0,6.0,0.4460495086971289
cell,sex,TMED10,-0.015148245676788564,0.059380253506306525,-0.2551057764544527,0.7986414027766024,1313.0,6.0,4.0,0.9133309166021499
cell,sex,TMED2,-0.058676799870378764,0.05847381783664452,-1.0034713319780368,0.31563350221200415,1313.0,6.0,4.0,0.481533988826422
cell,sex,TMED9,-0.05770706641146036,0.05604095780003022,-1.0297301951436177,0.3031366770019851,1313.0,6.0,3.0,0.481533988826422
cell,sex,VDAC1,-0.03835008728907962,0.03588754799726052,-1.0686182096365868,0.28524173983711965,1313.0,6.0,4.0,0.481533988826422
cell,sex,VLDLR,0.2548173717858443,0.05723020729717701,4.452497794786314,8.487711222363135e-06,1281.0,6.0,6.0,0.00011316948296484181
cell,sex,VPS26A,-0.10286326669504958,0.04973536704977878,-2.068211673035338,0.03862012308108543,1313.0,6.0,6.0,0.13548146243701947
cell,sex,VPS29,-0.12778355557250326,0.03677228582403153,-3.4749962562564924,0.000510860480577579,1313.0,6.0,6.0,0.004540982049578479
cell,sex,VPS35,-0.22907819315877842,0.04749362397042373,-4.82334625172918,1.4116959263393676e-06,1313.0,6.0,6.0,2.823391852678735e-05
