version,variable,from_bucket,to_bucket,protein,beta,se,z,p,n,strata,strata_same_sign,q
nocell,ceradsc,0,1,VPS29,0.0649013741005136,0.15872886189762342,0.408881997417543,0.6826262610591068,587.0,2.0,1.0,0.9324248947114252
nocell,ceradsc,1,2,VPS29,0.09226977990966118,0.15904906319453088,0.5801340671639618,0.5618242117947571,587.0,2.0,2.0,0.9654988605554733
nocell,ceradsc,2,3,VPS29,0.02252451089937342,0.1165940727877893,0.1931874439309609,0.8468121718025641,587.0,2.0,1.0,0.9326376732223101
nocell,ceradsc,0,1,VPS35,0.034373435931877236,0.158916150554891,0.21629919811079465,0.8287545340863247,587.0,2.0,1.0,0.9324248947114252
nocell,ceradsc,1,2,VPS35,-0.07602827034996985,0.15928005270074355,-0.4773244926834139,0.6331310726570425,587.0,2.0,1.0,0.9654988605554733
nocell,ceradsc,2,3,VPS35,-0.03534444003521486,0.11674064920002383,-0.30276035192039724,0.7620725006762766,587.0,2.0,1.0,0.9326376732223101
nocell,amyThal,1,2,ABCA7,0.0155029078984913,0.31247979086774424,0.04961251367789362,0.9604311744404548,272.0,2.0,1.0,0.9905146843655693
nocell,amyThal,2,3,ABCA7,-0.22849518980643246,0.28582834172679294,-0.7994140413998484,0.42405037124514977,272.0,2.0,2.0,0.8208430460705229
nocell,amyThal,3,4,ABCA7,0.13432868244960638,0.20857726892947565,0.6440235944168284,0.5195601341413019,272.0,2.0,1.0,0.8149962888491009
nocell,amyThal,4,5,ABCA7,0.03417636465670165,0.18309132258016345,0.18666294052105123,0.8519249145062886,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,ADAM10,-0.3832163700611486,0.3513720419189293,-1.090628520039072,0.27543637485762984,272.0,2.0,2.0,0.6125751888448999
nocell,amyThal,2,3,ADAM10,0.31135487432899006,0.321246999188572,0.9692071057953283,0.33244186643139306,272.0,2.0,1.0,0.8208430460705229
nocell,amyThal,3,4,ADAM10,-0.27551621972188534,0.23516820622538162,-1.1715708689712707,0.24136938945308029,272.0,2.0,1.0,0.6824071600682537
nocell,amyThal,4,5,ADAM10,0.26847358099799573,0.20625822436216937,1.3016381859594712,0.1930400996170315,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,ADAM17,-0.07112828928923372,0.3453604310348843,-0.20595378884632318,0.8368270085520426,272.0,2.0,1.0,0.9170706943036082
nocell,amyThal,2,3,ADAM17,0.1623922178172131,0.31401838619389777,0.5171423870605473,0.6050567663429552,272.0,2.0,1.0,0.9097266166124887
nocell,amyThal,3,4,ADAM17,-0.04235781615070579,0.23856202614664007,-0.17755473004185984,0.859072679707695,272.0,2.0,1.0,0.916344191688208
nocell,amyThal,4,5,ADAM17,-0.06282134750770904,0.20711057999299676,-0.30332273469483445,0.7616439220306443,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,AP1G1,0.3530198405208277,0.32039019278359887,1.1018434660990633,0.27052972996675995,272.0,2.0,2.0,0.6125751888448999
nocell,amyThal,2,3,AP1G1,-0.23164376470515982,0.29412104960515995,-0.7875796887578357,0.4309425991870246,272.0,2.0,1.0,0.8208430460705229
nocell,amyThal,3,4,AP1G1,0.2783335153156589,0.20976046758851444,1.3269112074142766,0.1845380565562187,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,AP1G1,-0.11778919905947277,0.18524051850019538,-0.635871676527123,0.5248600648560997,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,AP2A1,0.4498225145587124,0.31976405497872357,1.4067325815862657,0.15950670056537353,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,AP2A1,-0.13705014092517806,0.2935289816350494,-0.4669049719103216,0.6405678679511504,272.0,2.0,2.0,0.9097266166124887
nocell,amyThal,3,4,AP2A1,0.26975327791775594,0.20941523862167902,1.2881263068208764,0.19770199926043386,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,AP2A1,-0.023509483203103147,0.18491811159063837,-0.12713456243349033,0.8988338965373419,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,AP2B1,0.29251143907822846,0.30855088743845605,0.9480168458001054,0.343120878351187,272.0,2.0,2.0,0.6695041528803648
nocell,amyThal,2,3,AP2B1,-0.10297623507477133,0.28340443958764505,-0.36335434697001323,0.716340200401141,272.0,2.0,1.0,0.9097266166124887
nocell,amyThal,3,4,AP2B1,0.3006190581841036,0.20144291573333087,1.4923287676299406,0.13561297874161363,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,AP2B1,-0.09674405016039422,0.17804820840177854,-0.5433587399098357,0.5868828281115892,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,AP3B2,0.32983423511612253,0.31206765869730313,1.0569318092524689,0.2905427098719714,272.0,2.0,2.0,0.6125751888448999
nocell,amyThal,2,3,AP3B2,-0.06824501688030588,0.28668914505702353,-0.23804534652587453,0.8118459234507631,272.0,2.0,1.0,0.9412706358849426
nocell,amyThal,3,4,AP3B2,0.3016733708936744,0.20353702006074195,1.4821547981966399,0.13829911078202906,272.0,2.0,1.0,0.6685541516929194
nocell,amyThal,4,5,AP3B2,-0.15162530291619916,0.17995357765451417,-0.8425800970031208,0.3994633261645665,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,AP4B1,-0.42031244136941326,0.31787184346885805,-1.3222701223947548,0.18607821806858094,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,AP4B1,0.23370332842440555,0.2915570642789652,0.8015697681768241,0.42280187121962676,272.0,2.0,2.0,0.8208430460705229
nocell,amyThal,3,4,AP4B1,-0.18936868771283655,0.20906361751958916,-0.905794561289904,0.36504460024107854,272.0,2.0,1.0,0.7685149478759549
nocell,amyThal,4,5,AP4B1,0.10055002903909373,0.1843660382699629,0.5453825985665574,0.5854904060378413,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,AP4E1,0.025179615346892403,0.35211675196327136,0.07150927982409323,0.9429924392356522,270.0,2.0,1.0,0.9905146843655693
nocell,amyThal,2,3,AP4E1,-0.2182509521773435,0.3186327814397083,-0.6849607601302032,0.4933686827915097,270.0,2.0,2.0,0.8852736224651625
nocell,amyThal,3,4,AP4E1,0.087219252813744,0.23673567532684922,0.3684246267206018,0.7125566374134068,270.0,2.0,1.0,0.8800593251888503
nocell,amyThal,4,5,AP4E1,-0.12258578697225596,0.20604785839557307,-0.594938418320827,0.5518846355934501,270.0,2.0,2.0,0.9982796124437098
nocell,amyThal,3,4,AP4M1,0.07334956055316716,0.21341903434077886,0.3436879975571699,0.7310809385018859,229.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,AP4M1,-0.003838370149332798,0.18392788663017495,-0.02086888627742804,0.9833502463703778,229.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,AP4S1,0.1645934570048952,0.315613587244509,0.5215030773608077,0.6020163623798088,272.0,2.0,2.0,0.8600233748282983
nocell,amyThal,2,3,AP4S1,-0.4410229570387087,0.2867061117584726,-1.5382405151175707,0.12398981814750887,272.0,2.0,2.0,0.7182848546347083
nocell,amyThal,3,4,AP4S1,-0.09583909306866716,0.21922538869542113,-0.43717150481060546,0.6619869734378228,272.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,AP4S1,0.2262556869059746,0.1899742482797902,1.1909808247944735,0.2336611126414342,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,APBA1,0.5318749640672846,0.3481885858693102,1.5275485344798743,0.1266246681409147,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,APBA1,-0.29690564928141716,0.3183004721278117,-0.9327841938047657,0.35093140381008026,272.0,2.0,2.0,0.8208430460705229
nocell,amyThal,3,4,APBA1,0.11481388506166745,0.233183562723346,0.492375550492318,0.6224538800907033,272.0,2.0,1.0,0.8736194808290574
nocell,amyThal,4,5,APBA1,-0.1053107397914841,0.20447704528103847,-0.515024753251605,0.6065357227698063,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,APBA2,-0.07212703690524089,0.34963827421628024,-0.20629044994262938,0.8365640379480113,272.0,2.0,1.0,0.9170706943036082
nocell,amyThal,2,3,APBA2,0.08769649881021037,0.3191761698385365,0.27475891716657264,0.7835014630416058,272.0,2.0,2.0,0.9353208980789935
nocell,amyThal,3,4,APBA2,0.37870032853245983,0.23600485141830244,1.6046294228979192,0.10857538229945236,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,APBA2,-0.45348897196949817,0.20643335963293924,-2.1967814348216317,0.02803605959224808,272.0,2.0,2.0,0.7476282557932822
nocell,amyThal,1,2,APOE,0.4650249102306956,0.33163126354979083,1.4022348353199732,0.1608451324121809,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,APOE,0.17413838082547747,0.30212703239891775,0.5763747104746039,0.5643619343215411,272.0,2.0,2.0,0.8852736224651625
nocell,amyThal,3,4,APOE,-0.10110205829064237,0.22645277056227506,-0.4464597983924381,0.6552651459041243,272.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,APOE,0.46405631638372064,0.1973413413386865,2.3515413102786473,0.01869581351438017,272.0,2.0,2.0,0.7476282557932822
nocell,amyThal,1,2,APP,0.23140586868045937,0.19506296733255654,1.1863136906245406,0.23549844200725145,272.0,2.0,2.0,0.60299540365303
nocell,amyThal,2,3,APP,0.3127503571969034,0.17769445424509472,1.7600456836178213,0.07840006110457179,272.0,2.0,2.0,0.6690950995765862
nocell,amyThal,3,4,APP,0.0770520272423523,0.13326022312737815,0.578207250701519,0.5631242041165474,272.0,2.0,1.0,0.8190897514422507
nocell,amyThal,4,5,APP,0.2996111335291422,0.11611138827440819,2.5803768086991234,0.009869256175335274,272.0,2.0,2.0,0.7476282557932822
nocell,amyThal,1,2,ARF6,0.42817016983944517,0.3049268733425533,1.4041732863552534,0.1602672545827265,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,ARF6,-0.38268167306204565,0.27926812966238124,-1.3703019872861444,0.17059265297574322,272.0,2.0,2.0,0.7182848546347083
nocell,amyThal,3,4,ARF6,0.3191142720385767,0.20215435262426848,1.5785674060241197,0.11443531571929653,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,ARF6,0.06884065413518611,0.1778325653785849,0.3871093800431453,0.6986752336840636,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,BACE1,0.8139696428826453,0.3033713552189983,2.683080089400845,0.007294751858573993,272.0,2.0,2.0,0.3895900618087312
nocell,amyThal,2,3,BACE1,-0.5930703040784348,0.2771293456835254,-2.140048729287969,0.032350828886996065,272.0,2.0,2.0,0.6470165777399213
nocell,amyThal,3,4,BACE1,0.14709912813827847,0.20399083417381425,0.7211065572335464,0.4708439569542312,272.0,2.0,2.0,0.7960276967206622
nocell,amyThal,4,5,BACE1,0.16088219597021053,0.178649207039445,0.9005480552437516,0.367828663793624,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,BIN1,-0.4315448389621441,0.3403625176729624,-1.2678976578049475,0.20483450065171038,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,BIN1,0.3806346587437434,0.3124782846832951,1.2181155536280757,0.2231800641095779,272.0,2.0,2.0,0.8003569411942777
nocell,amyThal,3,4,BIN1,-0.17537331901656658,0.22275234234504399,-0.7873017952148527,0.43110521903997123,272.0,2.0,1.0,0.7896770093774595
nocell,amyThal,4,5,BIN1,-0.016827307411429574,0.1967364724123512,-0.08553222086934781,0.9318382807702082,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,CLU,0.4925565567666152,0.29020149061469713,1.6972916152956172,0.08964154165996113,272.0,2.0,2.0,0.5516402563689916
nocell,amyThal,2,3,CLU,0.045363666615618796,0.2647744295619947,0.171329484839839,0.8639646976660884,272.0,2.0,1.0,0.9599607751845427
nocell,amyThal,3,4,CLU,0.2789945174986056,0.19648682249012922,1.4199146485389433,0.15563253078126651,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,CLU,0.016228885420744923,0.17169809170359188,0.09451989395875982,0.924696180096116,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPA,0.4181721604373448,0.34121256710270753,1.2255473589033192,0.22036905782351546,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,COPA,-0.3450554851278919,0.311347846660417,-1.1082635991513357,0.2677479911264242,272.0,2.0,2.0,0.8003569411942777
nocell,amyThal,3,4,COPA,0.019677962178813353,0.23089061189107174,0.08522634167601804,0.9320814491352338,272.0,2.0,1.0,0.9559809734720347
nocell,amyThal,4,5,COPA,0.028094571681176437,0.20179918079087258,0.13922044465726177,0.8892759533280453,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPB1,0.3645714606193335,0.37084251204878543,0.9830897180724875,0.3255632842698639,272.0,2.0,1.0,0.6511265685397278
nocell,amyThal,2,3,COPB1,-0.4811683049089656,0.3390239442570361,-1.4192752844151937,0.1558187748211332,272.0,2.0,2.0,0.7182848546347083
nocell,amyThal,3,4,COPB1,0.09885781921468086,0.24829765765271442,0.39814237536203406,0.6905252398161678,272.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,COPB1,0.0979275924328,0.21774640054322766,0.44973231331720276,0.6529034687325722,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,COPB2,0.41814308308469417,0.33235679046097033,1.2581150591349148,0.208350147914251,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,COPB2,-0.3927932575744561,0.3034282801753434,-1.294517628177146,0.19548668426471505,272.0,2.0,2.0,0.7819467370588602
