protein,sex,apoe_genotype,cts_mmse30_lv,cts_mmse30_first_ad_dx,braaksc,ceradsc,amyThal,amyA,amyCerad,amyAny,reag,PlaqueTotal,TangleTotal
APP,1.0364232691541868,6.4002503244227835,-0.8112325148424995,-0.07151842491877582,4.816874536053938,-0.0025943041550877933,4.8010531494105715,4.13412202193807,7.561812973794936,6.621557372007574,13.285441600529047,4.676963590190607,-1.1969777043286447
ARF6,1.2126126355212712,-0.8903824357962618,0.3989793764305279,0.832107187865863,-0.6474760087982309,-0.122128895759649,2.146497213477159,1.7848897174754035,-1.6989534114531217,-1.4788814550640137,-0.927727827873967,-1.3523151370999589,0.814330003588967
BACE1,1.0114184943672273,1.4324109457098686,-1.8668096719958425,-0.7533874868545467,2.0030205805537267,2.86812876373942,1.5106663223726962,0.8800498507990696,2.0580547140456185,0.6894578251018224,6.0567166408060285,-0.695284436774326,-0.452428917485008
BIN1,2.4039170133419345,-1.889138535337709,2.0474524847237867,-0.83952607853247,0.22590138536651533,-1.410021064828128,-1.472600042277367,-1.0975713538759424,-0.44358335416741634,-0.31167339760213597,0.17645812386422746,0.7787059452056349,-0.578692861180309
CLU,-1.7119398881970136,4.868167679268176,-2.0267383925339617,-0.1999518729099755,2.0779407067101276,2.810648607039997,3.1956278627354897,3.300417906691075,1.8219694679388776,2.02411257959035,4.2216780412378805,-1.6477985026748891,0.25743436840651684
COPA,-0.6975310560470229,1.004846860031096,-1.754898007638539,0.04482205259486788,0.6154185620621326,1.4766322142617514,0.37410118271089465,0.10665814256819285,-0.6053655359837956,-0.950596200080127,1.9952617189117166,-1.420832075378962,1.8376687754580978
COPB1,-0.14497302818218352,1.4127679538095916,1.6027759190950712,-0.3679343443874602,0.9263935497454193,-0.1681350982761484,0.5659421420135647,0.22767654386679465,-1.1546090755921254,-0.914859928407718,0.8278435219448679,-1.6542385638108703,1.7245546815423825
COPB2,-3.08884215377526,2.0222222310326856,-0.8741944433522632,0.18348210685501645,0.9592587792846902,0.6394457592006377,0.7600565880745445,0.6264725782773244,-0.48398428266770077,-0.41629288091051614,0.17110596804806943,0.5657631172361058,0.40084151391898093
COPE,-2.1298368143746145,1.3119620877496467,0.4331271452127046,0.6589054207876235,0.3107700568477587,-0.08538679395230378,-0.2923724221207322,-0.60722392857747,0.0455097226419246,-0.48786912947818517,1.64426716035614,-1.2595244877341527,0.4490631983039475
COPG1,-0.3606556519389084,1.8800164505826287,0.7938574658993409,-1.0102653559769534,0.9417693518850211,0.595138725487603,0.9952065082381892,0.12607766412267993,0.2884778743165079,-0.3035471873589268,1.4498786959656507,0.04977243206747097,-0.9755751971279403
COPG2,-3.1068457389273516,-1.2253946844527488,-1.9428692951867093,1.3251154744085583,-0.5712912221948742,0.6060479761116175,-1.1631141818444362,-1.2303968415677236,-2.0146769537037885,-2.122372054049412,-0.9807149169067048,-0.7186858980732139,0.48343359961482296
COPZ1,-1.4616676494052838,1.1400565396268953,1.0108983173071944,0.9284956747908387,1.148423758386489,-2.0074741730324672,0.44593202284763594,0.5741092032757188,0.6876212993167382,0.5794833979392812,0.5907130492788077,-0.0033880105032210867,0.7250414863417228
ECE1,-1.2355352157546196,1.1580190237095072,-1.598031030103722,-2.37925554652431,1.6871331582076052,0.48508984672764416,1.837870184009099,1.9416976626619606,0.4004799469492263,-0.2336493247419178,0.6272879894030949,0.9526108207834211,-0.8143035677995132
EIF2S1,-5.67884791029122,2.1027043563359875,-0.7515761073769782,0.5804405692277023,0.08331758310532342,1.8488557979860896,1.186113507694328,0.8986241099624359,-0.13083003507941676,-0.6972746918445122,1.1334151972413924,-0.33240929917554957,2.804358704720223
GGA1,-4.985022636486224,-1.9023936723287573,2.3337959713394496,-0.5728527930065052,-2.291638514400114,0.22361272161091805,-0.33432843022420405,0.0631119332891159,-2.6818890351804194,-1.5709823764891053,-4.742588376977165,-1.3669604449838029,-0.6687728765361447
GGA2,1.9561812781232037,-0.5174219942868211,1.1814319968481208,-0.4628443299398024,-0.2983635511053947,2.290799276911292,-0.4138115287963487,0.22583208418104242,-0.0042464861552254955,0.4544251080550416,-0.6769363050724163,-1.6427699975179408,-1.5813377890211686
GGA3,-4.081758041217285,-1.8729323520968946,0.10976893346396266,-0.7579305765682708,-1.1828462418083092,-0.5188226790041628,-1.2811656804794789,-0.5573918467090586,-0.990634005321169,-0.5602129097626548,-0.7654817527870365,-1.626440190997589,0.0026983694858951674
GORASP1,2.064705008025917,0.36029680447692053,-0.8408801310683326,0.47085826662578745,-1.2193624663114888,1.4269922909223463,-1.831008594020957,-2.096417261039171,-0.4834493359347243,0.40998270610052523,-1.0170133995239694,-1.0322500218538695,-1.1025193108825069
HSPA5,-0.9721155907941177,1.844281489096982,0.07600512928895249,0.6724123581335812,-2.086926901880723,0.3718632721145043,-0.2165327385572426,-0.1687897749152022,1.6102077042235834,1.5828047445563393,-0.8746450453193183,0.5075478653478624,1.123865417932327
HSPA9,-2.2021163032015956,-0.008503585509544779,2.7565851974352,-1.1617267947330927,-2.2493310523848242,-0.21300442010649878,-0.2529056438376436,-0.19151348283753397,3.204630619218268,2.2391717574641143,0.06875213206273319,-0.06930512787252911,0.36332921033245613
IDE,-4.4641011888687725,0.7452899424398399,0.6729593701141028,-1.0529119696034233,-3.11351110605579,1.1121540935372944,-0.25499232783192194,-0.2388702414428316,-0.11750760362622956,-0.3339011087556251,-3.6572976343360972,-2.680574968497634,3.273232109129987
ITPR1,0.923485694383588,1.1793597400267612,-0.9568528680039469,2.114259108730886,1.9874015605968351,-1.534057750800849,1.473183141597833,1.0529917421756314,-2.7476380856188958,-0.9337472806046112,-1.4405962077450372,-0.08970213533341574,-0.08778034993463489
ITPR2,1.29226924155071,1.4438795346796083,-0.26559549041324537,-1.0712986365491644,1.5721412288312844,3.8590889808052733,1.8286469988710714,1.0900260442710807,1.0776191457018254,0.7074534069437306,4.451210184692475,-0.685805155471321,1.2489261428810028
LRP1,-0.17916345747148452,2.2534176848116134,1.3306242097661423,-0.874630524562907,3.215808364116075,5.499501610267755,2.684402618376958,2.2710226976721715,5.0074806241646295,3.505606903843729,8.109703302405373,2.0550492742788093,1.0879144379711025
MAP2K3,0.04315441559952057,0.7722831904434353,-1.773492175629353,1.396632515754344,-1.32070927273894,3.0095394044333275,0.6271300676488876,0.9483085658434891,1.6627598830772654,0.9121053874658629,1.425612528588503,-1.2881228033599255,0.17981057834581762
MAPK14,0.2843492109806396,1.00287628728463,-0.15944354396802254,0.7963571011816724,-0.5253463028801247,-1.3106435014931959,-0.5199791385607624,-1.0115379499779127,1.9358580580821507,1.9864328180353754,2.153724568403096,0.6975569217279111,-0.06254719031664781
MAPKAPK2,-0.03317371212293645,2.114495460354202,-1.4066305918079773,1.0639479020936777,-0.1541500159571874,-0.10646961698140199,0.8558419658095285,1.6612647040048678,-1.0188052450863012,-0.9047299972919071,-0.6990384823848921,-0.3638192604338372,-2.191000683557842
MFN2,-2.466124752031519,-0.3489416210172014,6.292389018815628,-2.5362325372563324,-3.0764741602930115,-0.9038355162446471,-0.8147570190271238,-0.5874778441306435,-0.2743090597179082,-0.7973930437222468,-3.857453609704486,-1.4520615969341766,0.20377450777400224
MIA3,-0.23967117559803278,0.8211482476997202,-1.3732061567861844,0.036778713921786055,-1.4855269099487085,-0.4898236197568824,-0.6258363824399835,-0.6941641415946505,0.2399458034902277,-0.2766692290713409,-0.9469072892498186,-0.4924343084603365,1.9986485561619773
NCSTN,1.7886969453881931,-0.01748359162453373,0.05282090322812546,0.3835871994522541,-0.4850686633971567,0.44908870283540814,-0.06777907282971911,0.7591477132275479,-0.5597983123076462,-1.0634188848584583,0.4702377925784563,0.35835867908284585,-1.243183585964839
OSBP,0.8369818102894777,-2.9869780074603995,0.7670416771722014,1.4042420328164296,-1.8388766536164598,-1.6963817484458064,-0.30154714965243373,-0.560903132667242,-1.5344572333228617,-0.17416806005932603,-2.3976207089437693,1.7364819358575956,-0.8045102499684951
PICALM,-0.5253956470197811,-0.5413551392995275,1.0298567810187265,-0.1693835645766676,-3.8836812742083846,-1.622684802451462,-1.8236876899375272,-1.8440024701265978,-1.1579034088900766,0.45053313565301306,-5.7211716374017225,0.9868537924520556,0.2424053774041329
PLCG2,-0.03164752337923946,-1.5945895588300407,0.12103984405911869,0.2560192661443513,-0.8341926568511252,-1.7383909406707265,2.9680911487968977,2.680155949731122,0.38648091507984905,-0.568916649950608,-0.5816561737151471,0.155959145634517,0.9609051456873772
PLG,-0.9044291591287992,0.10344925463754447,-1.9056120060087416,-1.1572305217291408,-0.9755224769238722,1.3766317754877493,0.3304655649112567,-0.7520349180106232,-0.40229602627665634,-0.01827665169359679,-0.045946711205932,-2.0720727411557136,2.191308009758912
PREB,2.8819153635386168,-0.44697197254943855,-0.7835713166085653,0.39474264487714417,-1.1675640228655366,-0.101310744669243,0.9282887920391303,0.8400739541564193,0.7635785377851856,0.7174233332776546,1.5654803671379818,-1.8765860657805222,1.9760915768465974
PSEN1,1.9263990219967906,0.6542110148977617,-1.07499213629025,-0.3836885906552357,-0.7645965535257248,-1.5904281603455752,-2.3553631062338494,-1.7488965367960874,1.4711268313063828,-1.1145128994858295,-0.8678493690373883,1.1932569202741479,-0.9343628619088682
RAB1A,0.9546857596640532,-1.1225002906612889,-1.8286199808758303,1.4157962666286859,-0.5661971436038845,-0.6425146587105873,2.7540828161704116,2.978538947394003,1.9551592208171142,1.6112761343438045,0.4175868298694423,0.7475501668262907,1.0299315674994542
RAB1B,-0.2854852115307277,1.3374164373875341,-0.7464329212397336,1.3092478231325293,0.2890560194136234,-1.0675813607059943,0.8352022430605431,0.9330987871952887,2.6355570618581092,2.563985966841345,3.6511750814767763,-0.9770813617805651,-0.3580412489735713
RTN3,1.11218987339363,-0.19448530721181922,-1.2967198799587656,0.5179760535018219,-2.614240809637292,-2.140428820119334,0.18710953322639737,-0.1647774819077454,-0.891224957759261,-0.45775861721021804,-3.287621223537609,1.955295158154119,0.12805614441983812
RTN4,0.6682533156154481,-2.2719555250703842,-0.24497271920979183,0.05016243098679544,-1.6615147734152216,-2.2773211252413414,-0.7564309315711836,-0.978313837255226,-3.7901719836990426,-2.784477376961975,-6.090303013560078,0.7700059728514792,0.4335253024930403
SAR1A,-0.4268532489084884,-1.9270394244556495,-0.04704574060012162,1.0398791118379722,-1.4517958982313786,-0.6659073174109663,-0.6460056141535048,0.2664050383834094,0.44166409373933563,0.9441836457628888,0.595311086370879,0.4121709951168928,0.6797167862263576
SAR1B,-2.2867527148226188,0.9309243328315632,0.5542619593979209,-0.7817640803194822,-0.008209970172997131,0.23790502679444075,-1.216813126651065,-0.9802612674872613,0.21731303183967718,0.7766794165341314,0.5660940242178486,-1.9575192205768595,2.233043271460685
SEC13,0.01745422259473327,-1.217199544493137,2.530818034593827,0.6600897653229559,-0.3950931673622038,0.5030369605023512,-0.8115934799106859,-1.3843738413498472,-0.9680121331906517,-0.6310844230281674,-0.3882475771770452,0.26389750353892655,2.1887910842044267
SEC16A,2.7536810518847936,-1.2784935154644714,-2.304187698430516,2.179388491535641,0.798870773434666,-1.5602210855532381,2.1890928558803378,1.1154103876361137,-1.6013110551042344,-1.6541564674469866,-0.10132730191388575,-0.7772175608873018,0.6001649700662852
SEC23A,-0.21552725526866176,0.5921133676942961,3.577656708339925,-0.2407822048684669,0.721960937458311,0.5012319094340258,0.5310979386891141,0.42452596058070663,-0.24081555228766968,-0.7843456964472612,1.1818770229916604,-0.5915431050262375,0.05208838772602179
SEC23B,-0.9964814666567916,1.7948946695921835,-0.39349418525231816,0.5171860266083591,-1.009578747497855,-0.7547364429480626,0.18858193379266847,0.8327780280655058,-1.9407507468066398,-1.6983686904128976,-2.4721154016788276,0.4704698873794557,0.5445978103856317
SEC24A,1.6276098450756684,-2.446250047057808,0.7736252845196532,-0.3493931542053549,-0.10469321245240998,-0.05183659076717659,1.2307893407094268,1.7014308454921465,-2.3738339793197647,-1.5204796182677187,-2.6334586731676985,-0.7775814488710685,0.3247683516300458
SEC24B,1.4212830185150918,0.4393871371104959,-1.8168708570738799,-1.984662995282454,0.44294068578315493,0.6774812907991724,0.056443238147343255,0.22108749076421905,-0.6814485573769804,-0.32105005895517197,0.5964934949192571,-0.9888290557659691,-0.9376927543996868
SEC24C,-1.7090974324534822,-1.1394064529956962,2.512538573315454,1.1267958158674527,-0.3676611424020563,-0.491602930043653,1.4149756037531211,1.6995331590134877,-1.387599211683241,-0.19166892942195654,-1.515108740577995,0.6314232938191532,0.051736855480735415
SEC24D,1.331009086303733,-0.8711531825566253,-1.139579066171976,1.505462729933525,1.985651524584349,-0.05770950880217098,-0.36594507956814815,-0.8136321552418926,-1.8902920585003504,-2.340110239134003,0.8798038104188589,-0.6875434863183679,0.3617596141290259
SEC31A,0.13761043690428917,-2.5635076737634663,0.6539082409734532,0.44376452921263315,0.05342935295729806,-0.23931660266673785,0.6466761662705557,-0.3574910986857927,-1.8729475020330295,-1.4854447182173245,-0.9129840967142239,-0.5127739701784733,2.4883145230074533
SIGMAR1,-0.2544284784825216,0.48056649193641765,-2.7384723075388906,-1.0498452207673643,-1.2195777453200467,-0.9257740961365266,0.3527498984201767,-0.05447216045393032,0.8962843233138029,-0.34060036389419895,0.06305536657798,-0.39990578889501754,-1.738056353045778
SNX4,6.359509689492979,-0.35117587741739265,0.8783069930850353,0.9403426990632796,-0.9791364832500852,-2.2399606285954734,2.373227952747664,1.4419289194396068,-2.7941127877377303,-2.1551020002562047,-2.8442110720797538,1.3724122549494049,-0.2853303454701425
SNX6,2.524324352323589,1.7295135857056474,-1.032054661445659,1.1157763247887666,-0.09514378416002384,1.1621155899641782,0.27805520888705954,0.36678015435672506,0.7655849180672589,1.093520162015505,1.803609537543087,0.4716026062173276,1.7943753044231143
SORL1,1.4310635885516552,-0.37325822934426467,0.9785116638617593,-0.9730273416789607,-0.552288503850521,2.048543474753609,-0.562613683020384,-0.3257519450909854,-0.8815370691540418,-1.2870437932720036,-2.4905958907025774,0.6889450565547213,0.9593479812165052
SORT1,-2.544486927454143,0.8282000618735997,0.8150265369114521,-1.8817932144072822,0.9758017447417067,1.4332220846331751,0.8192849673673985,1.1138813831465015,2.2416924038728485,1.6276069364245251,3.6034412244959313,0.0619362709248776,-1.368536003810271
SREBF2,1.804084622972324,-0.605673600989898,-1.9882596028314865,-0.5605823728647509,-0.4141429589724658,-0.48377797101351133,0.917870343816747,1.0702422076983125,0.36008532234704904,-0.14715479814048324,-1.4071799291364946,0.8640813846863636,-0.14628341130546363
SYK,1.1617741182897479,0.6121624279347506,-1.1682242711650541,-0.6871854707044045,-2.5258493990021,2.3472188005809906,0.9461369738078726,2.132906138012951,2.2080951662285675,0.9466451041335116,0.3950974805970812,-0.6814946635569695,-0.6561018797224379
TMED10,-0.2551057764544527,-0.6452152134092338,2.729971152169912,1.5170480042878876,-1.373853685220477,0.4184941567324663,-0.9255034697112564,-0.8495363754463507,0.7841105946389955,1.7190266703225936,-0.8954346569100272,-1.3003544838217471,0.9440890571000065
TMED2,-1.0034713319780368,-0.5896288354482881,1.1068307344995374,-0.014695762037376615,-1.1239350484141106,-0.13216387999094412,-1.2786454364619948,-0.7373928784221041,0.610406013697099,1.2502863223440104,-0.6023865156847473,-1.7408221953721708,-0.4376450388758566
TMED9,-1.0297301951436177,-0.3587684931717332,2.7238535282687146,0.7200382009002142,-1.5107985761316085,2.0451724956525257,-0.2684517500242909,-0.4648379956538014,1.2870428613763463,1.6733073917723256,-1.201271381137956,-1.2456164976369934,-0.14811557130549846
VDAC1,-1.0686182096365868,-1.653673505375591,1.0699864209304832,-0.4935239002574316,-1.9990732909987887,0.8940174259021596,0.2734757147712087,1.2943845792108148,0.7424917941823272,-0.13955977885701518,-2.049196657688475,-0.802526675185114,-1.3285408052589973
VLDLR,4.452497794786314,0.1801438380123914,-0.5690126080516134,1.7914233957072923,-0.599091204938567,1.2005252684976366,-0.13008053471037667,0.27152739265006676,0.6390016924507705,0.2932018322216123,-0.24888082826085034,0.5818930599560126,-1.0704399971365988
VPS26A,-2.068211673035338,0.4659973499236232,-4.181941740704445,0.3423330947637789,1.7258017452966128,0.3467322228881275,1.080415453714261,1.049026845754774,1.7041352590737977,0.3238884092095207,4.347411302396924,-0.26504854373426256,0.09922250902276136
VPS29,-3.4749962562564924,0.5231795920503098,-0.8703664912857503,-1.7617794134083413,0.7057926721305393,1.6041074543913418,1.7693768014321027,1.688600358570923,1.322600489442575,0.8360189233355094,2.938662778431578,0.44850019465537516,2.1771515247939806
VPS35,-4.82334625172918,-0.6575860804951522,0.491095107646664,-1.3265923165614515,0.3277572790822835,-0.970874446582402,-0.04577867000086633,-0.3875623542442808,0.25571615488811794,-0.038428397770306474,0.7942652346803074,0.309470549165688,0.18812876832738398
