version,variable,cohort,protein,from_bucket,to_bucket,beta,se,n,p
cell,sex,Diverse,SAR1B,female,male,-0.04206056111994221,0.18787075767602546,54,0.8228504469425757
cell,sex,Diverse,SEC13,female,male,-0.06495188236360835,0.25556074451899896,54,0.7993762937134028
cell,sex,Diverse,SEC16A,female,male,0.22986529824178598,0.185130580631598,54,0.21436988684324165
cell,sex,Diverse,SEC23A,female,male,-0.08123551071742476,0.1841885176166735,54,0.6591800816521537
cell,sex,Diverse,SEC23B,female,male,0.2862969351306704,0.1837791098393183,54,0.11927313378601648
cell,sex,Diverse,SEC24A,female,male,-0.04361379493421885,0.1806432159566272,54,0.809217130452693
cell,sex,Diverse,SEC24B,female,male,0.16175017050675145,0.18799733065711677,54,0.3895765960797769
cell,sex,Diverse,SEC24C,female,male,-0.25060957965844877,0.23534706416059933,54,0.2869433175871915
cell,sex,Diverse,SEC24D,female,male,0.25920233600479486,0.22944177363585713,54,0.2585990485327291
cell,sex,Diverse,SEC31A,female,male,0.18185168726293074,0.1844287293037083,54,0.3241199153307043
cell,sex,Diverse,SIGMAR1,female,male,0.20810867249856324,0.28221438665595927,52,0.46087098451364905
cell,sex,Diverse,SNX4,female,male,0.20684715699747586,0.16427590043994308,54,0.20797801071209576
cell,sex,Diverse,SNX6,female,male,0.09874598809164922,0.21766598194660944,54,0.6500747559822476
cell,sex,Diverse,SORL1,female,male,0.37535059050762887,0.28775260754450055,54,0.19209002396298946
cell,sex,Diverse,SORT1,female,male,0.11535686813722208,0.17998656856408496,54,0.5215751063744078
cell,sex,Diverse,SYK,female,male,0.07401395385291867,0.24122795671241948,54,0.7589791467228812
cell,sex,Diverse,TMED10,female,male,0.0639579831834404,0.2960905328239934,54,0.828981355379935
cell,sex,Diverse,TMED2,female,male,0.027094457095587013,0.24811005314628093,54,0.9130411773187466
cell,sex,Diverse,TMED9,female,male,0.04428181181997094,0.2187689532405154,54,0.8395933956659529
cell,sex,Diverse,VDAC1,female,male,-0.018263159285546234,0.11730326692329195,54,0.876275944118319
cell,sex,Diverse,VLDLR,female,male,0.5580673675340154,0.29922312408545654,54,0.06217379653639502
cell,sex,Diverse,VPS26A,female,male,-0.28187434425651736,0.20812360691346826,54,0.17562146672186985
cell,sex,Diverse,VPS29,female,male,-0.20920390538813244,0.11760927934267307,54,0.07527183305416936
cell,sex,Diverse,VPS35,female,male,-0.2692558973393054,0.15063708115721886,54,0.07386516536284203
cell,sex,Diverse,ABCA7,female,male,-0.0990119901835759,0.09978939633356514,370,0.3210953238765656
cell,sex,Diverse,ADAM10,female,male,0.07611069359486525,0.035810312513775824,400,0.03355451826189063
cell,sex,Diverse,ADAM17,female,male,-0.0025098749375949054,0.0796767998666997,400,0.9748702342239561
cell,sex,Diverse,AP1G1,female,male,0.08321999374048433,0.060928010904508084,400,0.17197847463550142
cell,sex,Diverse,AP2A1,female,male,-0.0036592003079544966,0.03574887110484683,400,0.91847213423846
cell,sex,Diverse,AP2B1,female,male,0.06799088332846101,0.053110488686125,400,0.20048251392504002
cell,sex,Diverse,AP3B2,female,male,-0.011173552531146514,0.029206690669268058,400,0.7020399154835391
cell,sex,Diverse,AP4B1,female,male,-0.050029102210981266,0.09078420976554719,400,0.5815807989317834
cell,sex,Diverse,AP4E1,female,male,0.048523827656476,0.10546618014923,400,0.6454523509209931
cell,sex,Diverse,AP4M1,female,male,-0.0035146044245548194,0.13706254963381148,361,0.9795426151581947
cell,sex,Diverse,AP4S1,female,male,-0.09994270657569876,0.11274315046848007,400,0.3753677244821797
cell,sex,Diverse,APBA1,female,male,0.00961703914153068,0.06370340425219619,400,0.8800026477841911
cell,sex,Diverse,APBA2,female,male,-0.07017118709054228,0.07729587019347804,400,0.36397025205926437
cell,sex,Diverse,APOE,female,male,0.08476172764793038,0.08648260735123083,400,0.3270360504435589
cell,sex,Diverse,APP,female,male,0.011806286554819884,0.07404067290997245,400,0.8733090149713173
cell,sex,Diverse,ARF6,female,male,0.21048388535013204,0.07360799811258366,400,0.004242764375698859
cell,sex,Diverse,BACE1,female,male,0.03213258300054664,0.09296257533544174,400,0.7296052082424926
cell,sex,Diverse,BIN1,female,male,0.07909030602735129,0.04512919988709517,400,0.07968260425307278
cell,sex,Diverse,CLU,female,male,-0.021040745017236143,0.07234077650886762,400,0.771161494981928
cell,sex,Diverse,COPA,female,male,0.049547084310516444,0.09505186159007134,400,0.6021830902027755
cell,sex,Diverse,COPB1,female,male,0.0916309916876567,0.08580992920065465,400,0.28559417978503465
cell,sex,Diverse,COPB2,female,male,-0.006462854015866196,0.07716022194971679,400,0.933248139570476
cell,sex,Diverse,COPE,female,male,0.02318025712441825,0.0960175500047678,400,0.809232033049299
cell,sex,Diverse,COPG1,female,male,0.026500307172088823,0.10378626590665849,400,0.7984640646732029
cell,sex,Diverse,COPG2,female,male,-0.05325928330499033,0.11846059478038265,400,0.6530025415384684
cell,sex,Diverse,COPZ1,female,male,0.04447634021194653,0.09770622675371218,400,0.6489619311196315
cell,sex,Diverse,ECE1,female,male,-0.16926445068661208,0.08402251697235424,400,0.04395570394703898
cell,sex,Diverse,EIF2S1,female,male,-0.3590478116781596,0.09623200599336384,400,0.00019067247034025507
cell,sex,Diverse,GGA1,female,male,-0.11658494681308987,0.07648659042997762,400,0.1274454188928654
cell,sex,Diverse,GGA2,female,male,0.09744875889992288,0.07407489018756952,400,0.1883272235309319
cell,sex,Diverse,GGA3,female,male,-0.047634351690900266,0.06648539466174881,400,0.4737052612647087
cell,sex,Diverse,GORASP1,female,male,0.10403884865717915,0.10577214398717259,300,0.3253058642935932
cell,sex,Diverse,HSPA5,female,male,0.0985964667646651,0.07382454963693066,400,0.18169600568395017
cell,sex,Diverse,HSPA9,female,male,-0.08179295695665058,0.07000929641332378,400,0.24267946312179478
