,sex,apoe_genotype,cts_mmse30_lv,cts_mmse30_first_ad_dx,pmi,braaksc,ceradsc,amyThal,amyA,amyCerad,amyAny,reag,PlaqueTotal,TangleTotal
SEC13,0.0,-0.0,0.04567412579951357,0.0,0.007511786766828746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SEC16A,0.016984063786260595,-0.0,-0.0,0.0,-0.011697868823048456,0.0032378372016163776,-0.02529145630418913,0.04064988805185553,0.0,0.0,0.0,0.0,-0.0,-0.0
SEC23A,0.0014984745701500022,0.009235227020360831,0.00412130391249048,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
SEC23B,-0.006278450853913084,0.024440062155829567,-0.0,0.0,0.0232771639358061,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
SEC24A,0.0,-0.010993168478527717,-0.0,0.0,-0.017069469399119144,-0.0,0.0,-0.0,-0.0,-0.0331131216767783,-0.0,-0.0,0.0,0.0
SEC24B,0.01553688181409715,0.001999640575358533,-0.03472446777832087,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.016236236814833042,0.0,-0.0,-0.0
SEC24C,-0.041633089474340204,-0.0,0.022442510252180053,0.0,0.040356495571611584,-0.00571164557268544,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.05354943128986733
SEC24D,0.0,-0.0,0.0,0.011152086884901987,0.015494009578105315,0.027156491728884388,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
SEC31A,0.006476657526494219,-0.005740248565444205,-0.04973749272761161,0.0,-0.039244659908634204,0.004242636834527629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09681331000309777
SIGMAR1,-0.009855300503863997,-0.0,-0.0,-0.0,-0.0,-0.006038382344851263,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
SNX4,0.0691808761126263,0.009247566081911351,-0.0,-0.0,0.01917274354532102,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00344605662566293,-0.007854601719944185,0.0,0.017052430011011865
SNX6,0.040057536341855875,0.0,0.0,0.0,0.0,-0.00022149220006474052,-0.0,-0.0,-0.0,0.0029895002112682732,0.015092123593596903,0.0,0.0,0.0
SORL1,0.07051473071485281,0.0,-0.0,-0.0,0.007515088145251204,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004949622680967804,-0.02012758345684974,-0.0,-0.0
SORT1,-0.0293390266352693,-0.002613368258773547,0.014735243019907925,0.0,0.0,0.001488803321131815,-0.0,0.011929297559715581,0.0,0.0,0.0,0.0,-0.0,-0.006197670243619696
SREBF2,0.00122072657969654,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
SYK,0.010870637676185003,0.004328215776314333,-0.0,-0.0,-0.005497973238565928,-0.0040219235676380895,0.0,0.0,0.0,0.00026253455986865635,0.0,0.0,0.0,0.0
TMED10,0.0,0.0,0.0,0.0,0.007519841903337998,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
TMED2,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TMED9,-0.0,-0.0,0.029109625814965876,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VDAC1,-0.0010285730364985913,-0.011239844124679009,0.0,-0.0,-0.0,-0.012164223056976483,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VLDLR,0.031631954643051435,0.0,0.0,0.0,0.0033357175619869372,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VPS26A,0.003954564169889798,-0.00998894103646856,-0.01054260895642898,0.0,0.0,0.021549270736735317,-0.0,0.0,0.0,0.0,-0.0,0.0469335890310575,0.0,-0.0
VPS29,0.0,0.0,-0.0,-0.0,-0.016299297832041114,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
VPS35,-0.03421728274962089,-0.0119152515456757,0.020387039242388175,0.0,-0.0,0.0,-0.01136925698849227,-0.004023730854381748,-0.0,-0.0,-0.0,-0.0,0.0,0.0
