variable,state,config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=no_pmi,0.09710070908471499,0.4091468488847736,0.0896551724137931,0.12,0.17098101265822785,0.8452017774276018,0.09640350506171658,0.4433611320308499,0.005749319343213141,1.2029297650716857,4.7364812860341505,1.032738714613306,1.3574954480837904,0.9720625635311455,-1.5809209373503528,1.0207164307125058,1.3139833335264945,0.6005429516046286,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=no_pmi,-0.0108788906260458,0.5190609305222252,0.01935483870967742,0.12,0.14048259493670887,0.9327741190595147,0.04396657002642326,0.27108300690887127,0.0032053958877078653,1.087279848277584,2.132798337387841,1.051638445613873,2.3808832067105286,0.9861145372887985,-0.7682594092326493,1.0003231519204046,0.1644640673645445,0.5992827459442179,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=no_pmi,0.021832694405043335,0.03388499496235941,0.01935483870967742,0.12,0.11885759493670886,1.0,0.0125,0.008059374045696361,2.7755575615628914e-17,0.9839983357304524,-0.5622468991138777,1.0323412280545705,1.6389318575312823,1.0082117460109639,0.7321976867224397,1.000649816623545,-0.06975356199251492,0.5332943925233645,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=none,0.12706201218365198,0.5533201671459709,0.10877192982456141,0.12,0.20652848101265822,0.7569877111194174,0.15021409054255688,0.5724788158943074,0.01030015285451752,1.2765594664101652,5.29087986975489,1.0211893598589241,0.7001054776348861,0.9512693888623464,-2.28119395536026,1.0235276449336168,1.113751985255812,0.6016031053368043,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=none,0.0841265875858886,0.49236106635319415,0.1166077738515901,0.12,0.16699050632911394,0.858852595615186,0.0853215720208849,0.398169100308362,0.006385745316225072,1.2198348430915171,5.142948980249523,1.0360622198390497,1.474965118069107,0.9807861808714315,-1.101138287951142,1.0107377648953326,0.9253260379136662,0.6037407504031875,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=none,-0.01679497051180068,0.4809536088846268,0.01607717041800643,0.12,0.13907753164556963,0.9425534930070083,0.04023470604477096,0.25734849676369087,0.0023500383647349493,1.0861512756291225,2.3387147305849756,1.044797603052722,2.06051112222217,0.9942330675655433,-0.4110345546449776,1.0102799415462878,0.7795409902841457,0.5968132519257026,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=none,0.01265922612203214,-0.01330363945470278,0.029315960912052116,0.12,0.11883544303797469,1.0,0.0125,0.005623244942334229,2.7755575615628914e-17,0.9893359496158307,-0.38160144200354323,1.0323267746051106,1.6746379485060738,1.0080765058200085,0.7441335367870561,0.9999495323509779,-0.10853085922836853,0.5325313875577335,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.75|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11758405723634031,0.5022826234242637,0.1366906474820144,0.052835218009918875,0.3677183544303797,0.7909808699089427,0.17314346144808856,0.19748921995651242,0.01204049556057668,1.2680578633925244,4.085999241016092,0.9875216186095886,-0.23908029591533383,0.9217476376729794,-2.8707736292755683,1.0183624685419044,0.629565790331183,0.5222284536935389,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.8|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11704443806977807,0.46942375424947097,0.13261648745519714,0.05906241000617602,0.33906012658227846,0.6998886688467978,0.22174437938183042,0.27087907293922076,0.015168484559542478,1.2842734328219176,4.327868951575494,0.9815805023162274,-0.39817795481905716,0.915218010353791,-2.993984279647769,1.0206181166202681,0.7179093678836383,0.5228145184592798,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11057452080089443,0.45365682137834035,0.12455516014234876,0.06671245584208862,0.31048734177215187,0.6364992379443335,0.2511043864721102,0.37967072075898844,0.010806314870910827,1.3023983133504418,4.677252652693644,0.9926783106809589,-0.0891711715832472,0.9245962185638563,-2.7664370724105547,1.020311234873199,0.7068705953285521,0.5366030463339032,True
