57 states, 2 workers, solver=lw
  [54/57] PlaqueTotal=3-6 n=13 ok best=0.1192 2.6s
  [55/57] apoe_genotype=22 n=8 ok best=0.1356 2.6s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.1575 2.4s
  [57/57] braaksc=0 n=6 ok best=0.1273 2.5s
done in 69s -> /home/claude/cw/big1/results_sweep_top3/summary.csv
57 states, 2 workers, solver=lw
  [1/57] apoe_genotype=33 n=804 ok best=0.5716 2.4s
  [2/57] sex=female n=941 ok best=0.5649 2.4s
  [3/57] sex=male n=629 ok best=0.5696 2.3s
  [4/57] amyAny=1 n=521 ok best=0.5835 2.5s
  [5/57] apoe_genotype=34 n=422 ok best=0.5617 2.2s
  [6/57] cts_mmse30_lv=24-30 n=367 ok best=0.5389 2.3s
  [7/57] braaksc=4 n=360 ok best=0.5418 2.4s
  [8/57] amyCerad=3 n=333 ok best=0.5738 2.6s
  [9/57] braaksc=3 n=321 ok best=0.5527 2.6s
  [10/57] braaksc=5 n=310 ok best=0.5456 2.4s
  [11/57] braaksc=6 n=268 ok best=0.5728 1.9s
  [12/57] amyA=3 n=277 ok best=0.5872 2.4s
  [13/57] reag=3 n=244 ok best=0.5687 2.2s
  [14/57] ceradsc=3 n=219 ok best=0.5249 2.4s
  [15/57] amyThal=5 n=218 ok best=0.5785 2.1s
  [16/57] reag=2 n=218 ok best=0.5694 2.5s
  [17/57] reag=1 n=197 ok best=0.5546 2.2s
  [18/57] amyCerad=0 n=171 ok best=0.5609 2.2s
  [19/57] amyAny=0 n=171 ok best=0.5668 2.7s
  [20/57] ceradsc=2 n=169 ok best=0.5301 2.8s
  [21/57] apoe_genotype=23 n=158 ok best=0.5314 2.6s
  [22/57] ceradsc=0 n=144 ok best=0.521 2.1s
  [23/57] braaksc=2 n=142 ok best=0.5328 2.4s
  [24/57] amyCerad=2 n=140 ok best=0.5513 2.5s
  [25/57] braaksc=1 n=106 ok best=0.5233 2.3s
  [26/57] PlaqueTotal=12-15 n=97 ok best=0.5152 2.5s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.5141 2.5s
  [28/57] apoe_genotype=44 n=68 ok best=0.5253 2.3s
  [29/57] amyA=2 n=68 ok best=0.5376 2.0s
  [30/57] amyThal=3 n=68 ok best=0.5347 2.4s
  [31/57] amyA=1 n=65 ok best=0.537 2.4s
  [32/57] TangleTotal=12-15 n=63 ok best=0.5158 2.5s
  [33/57] ceradsc=1 n=58 ok best=0.5144 2.3s
  [34/57] cts_mmse30_lv=0-6 n=62 ok best=0.5121 2.6s
  [35/57] amyThal=4 n=55 ok best=0.525 2.3s
  [36/57] cts_mmse30_lv=12-18 n=56 ok best=0.5131 2.6s
  [37/57] cts_mmse30_first_ad_dx=18-24 n=48 ok best=0.506 2.2s
  [38/57] amyCerad=1 n=48 ok best=0.5245 2.6s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.5104 2.6s
  [40/57] TangleTotal=6-9 n=43 ok best=0.5153 2.6s
  [41/57] apoe_genotype=24 n=40 ok best=0.5129 2.5s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.5043 2.2s
  [43/57] TangleTotal=3-6 n=37 ok best=0.5092 2.5s
  [44/57] amyThal=1 n=33 ok best=0.5193 2.2s
  [45/57] reag=0 n=33 ok best=0.5209 2.2s
