config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic,acyclic_all,LAMBDA_MODE,LAMBDA,LAMBDA_Q,TAU_A_RATIO,T_SOFTMAX,SHRINK_SCALE,CONTEXT,score,eligible
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.11436641087427164,0.5369261243468229,0.14492753623188406,0.12,0.15555696202531646,0.9163808897812918,0.08654059746283374,0.12957055475320703,0.02882793733400657,1.9844823296535692,7.27116146196065,1.1181980103020233,1.4338178535173354,0.9013148424588366,-1.6764447277458703,0.9670704279970024,-0.4158944127827188,0.4941141855214488,1.0,True,abs,0.12,0.85,0.25,0.2,1.0,all,0.32564626761054727,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.11531399043517572,0.5232159497283597,0.1407942238267148,0.15,0.05480063291139241,0.7722373616975872,0.14608446024889293,0.24150454506838837,0.05556431361246911,3.7015177613236308,8.11471937706105,1.2545803921089318,1.4178224089772296,0.775687793762279,-1.6910727219344452,0.9312266948422137,-0.5389556094153461,0.5108856941302391,1.0,True,abs,0.15,0.85,0.125,0.2,1.0,all,0.31926497008176774,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.10333944461000524,0.5328090295979303,0.13261648745519714,0.2,0.023352848101265825,0.4339226939302408,0.3649616148422888,0.7664770056157939,0.07434808636750409,4.966797896948696,7.612105686022105,1.339223265490351,1.1802013673160252,0.672905354844395,-1.8199969889206637,0.9160805145661185,-0.2945219371845221,0.589697288068816,1.0,True,abs,0.2,0.85,0.125,0.02,1.0,all,0.31807423710396776,True
LAMBDA_MODE=abs|LAMBDA=0.1|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11611231232604546,0.5154303262230054,0.1407942238267148,0.1,0.2057674050632911,0.37727503923520234,0.5172900535477272,0.26432333701469707,0.025258800014792693,1.819318468592376,6.316991672545456,1.1103263049018013,1.4677881130746677,0.905412476888249,-1.7719496206588286,0.9900091505398984,-0.19506539446283117,0.47374771683179273,1.0,True,abs,0.1,0.85,0.25,0.05,1.0,all,0.31577131927452545,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10414446029388257,0.5248272669292355,0.12455516014234876,0.2,0.02310126582278481,0.6197185335090063,0.17870717707745587,0.6445550739967556,0.08313629832588926,4.889071728742977,7.745422343808224,1.3078255169724349,1.0839183444006126,0.6862566316173393,-1.7775130985412353,0.9172804497190266,-0.2906165132517767,0.5767826548094965,1.0,True,abs,0.2,0.85,0.125,0.05,1.0,all,0.31448586361155906,True
LAMBDA_MODE=abs|LAMBDA=0.06|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11604234668501867,0.5027485085385435,0.1366906474820144,0.06,0.42157753164556966,0.8385508011535057,0.1767245706125563,0.09548891343131424,0.01687629903151444,1.3183668770188537,5.193030653726392,1.0494394689626685,1.3184044829626473,0.9674852237320799,-1.065004200665337,0.994648135397042,-0.11970494469180465,0.4598033691148896,1.0,True,abs,0.06,0.85,0.5,0.05,1.0,all,0.30939542761178107,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10979650353468881,0.5029448133279831,0.1366906474820144,0.15,0.05715664556962025,0.30664559217340037,0.5075810925368061,0.5527686167179837,0.0494753767984662,3.5814170643262644,7.772320650858406,1.2375957234360666,1.3697387718322398,0.771162481786905,-1.6589143738311103,0.9450104810528357,-0.3816834320107623,0.5008125927485404,1.0,True,abs,0.15,0.85,0.125,0.05,1.0,all,0.306370658431336,True
LAMBDA_MODE=abs|LAMBDA=0.1|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11391319951220821,0.4950889613317404,0.1366906474820144,0.1,0.201871835443038,0.7626427854469674,0.2005553917751987,0.13134231383282016,0.026260043955867396,1.8285333775395078,6.574219892052406,1.1180504038016676,1.5391746803423272,0.9092193554622872,-1.6341743134282232,0.9789695061621537,-0.3532533848184902,0.4783547237933794,1.0,True,abs,0.1,0.85,0.25,0.1,1.0,all,0.3045010804219743,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.12216515174812652,0.48041163406182535,0.1366906474820144,0.12,0.09986392405063292,0.5474070815980591,0.4475936723289996,0.17743677487274034,0.038999167032153226,2.732524004144653,7.202987058117997,1.1931557307772118,1.4999305386769566,0.8363829031715386,-1.5289030086830175,0.945950153151998,-0.3671403105350531,0.4806488370002591,1.0,True,abs,0.12,0.85,0.125,0.1,1.0,all,0.30128839290497594,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.1252861340292736,0.42662916080637603,0.14492753623188406,0.12,0.09717246835443039,0.8436676402170168,0.14833322500416982,0.090638008665364,0.03911951277848075,2.7900244783913273,7.237484574557358,1.2221911221228212,1.600493982080795,0.8359125770522762,-1.608854460488156,0.9440601479338441,-0.43288709229185895,0.49415370676208825,1.0,True,abs,0.12,0.85,0.125,0.2,1.0,all,0.2759576474178248,True
LAMBDA_MODE=abs|LAMBDA=0.08|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.1168215444923776,0.42804064748190296,0.1407942238267148,0.08,0.2674113924050633,0.6890546206227394,0.3216787435917062,0.09279578629262174,0.026094550479895062,1.6748390509064954,5.715809683463901,1.101037667561565,1.4288894314761813,0.922869515878175,-1.4510597370641545,0.9947100853113477,-0.09355177507862211,0.4684974869601891,1.0,True,abs,0.08,0.85,0.25,0.05,1.0,all,0.27243109598714027,True
LAMBDA_MODE=abs|LAMBDA=0.1|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.12701281671741366,0.3271487007808016,0.1407942238267148,0.1,0.14359651898734177,0.7274669781615761,0.2970301850076843,0.05458117407187155,0.03251989767972452,2.3100273804209417,6.449216206576457,1.179287238962109,1.6152198395933866,0.8625805254895782,-1.4884798215189599,0.9687358901651276,-0.2874776922125322,0.4781611468116659,1.0,True,abs,0.1,0.85,0.125,0.1,1.0,all,0.22708075874910763,True
LAMBDA_MODE=abs|LAMBDA=0.1|LAMBDA_Q=0.85|TAU_A_RATIO=0.125|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11813554647659982,0.33373184713428544,0.1407942238267148,0.1,0.14822310126582278,0.4249161046832034,0.5411497652721209,0.10207030448169688,0.03339625666750512,2.2844552984230844,6.365994708004058,1.171457252392894,1.5259837574413404,0.8530837598364847,-1.5961590188690011,0.9783294219689431,-0.21744359318211015,0.47077897042040656,1.0,True,abs,0.1,0.85,0.125,0.05,1.0,all,0.22593369680544262,True
